,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,84,88.4%,11,11.6%,"9,554",75.4%,"3,111",24.6%,856,73.0%,316,27.0%,"1,239",84.4%,229,15.6%,463,79.0%,123,21.0%,"9,000",91.8%,808,8.2%,769,89.1%,94,10.9%,"2,321",85.6%,392,14.4%,"4,078",93.7%,272,6.3%,"3,606",85.8%,598,14.2%,"1,927",86.3%,305,13.7%,"7,768",85.3%,"1,338",14.7%,665,100.0%
Avon and Somerset,3,100.0%,0,0.0%,262,79.6%,67,20.4%,50,71.4%,20,28.6%,24,92.3%,2,7.7%,11,100.0%,0,0.0%,269,93.7%,18,6.3%,15,78.9%,4,21.1%,82,91.1%,8,8.9%,96,99.0%,1,1.0%,86,87.8%,12,12.2%,56,83.6%,11,16.4%,205,80.7%,49,19.3%,30,100.0%
Bedfordshire,0,-,0,-,81,73.0%,30,27.0%,3,42.9%,4,57.1%,14,87.5%,2,12.5%,14,100.0%,0,0.0%,54,88.5%,7,11.5%,10,83.3%,2,16.7%,12,85.7%,2,14.3%,31,100.0%,0,0.0%,23,92.0%,2,8.0%,15,75.0%,5,25.0%,51,89.5%,6,10.5%,9,100.0%
Cambridgeshire,0,-,0,-,115,83.9%,22,16.1%,6,85.7%,1,14.3%,16,100.0%,0,0.0%,2,100.0%,0,0.0%,87,86.1%,14,13.9%,10,83.3%,2,16.7%,20,83.3%,4,16.7%,50,98.0%,1,2.0%,61,92.4%,5,7.6%,15,93.8%,1,6.3%,87,87.9%,12,12.1%,6,100.0%
Cheshire,1,100.0%,0,0.0%,177,82.3%,38,17.7%,18,72.0%,7,28.0%,25,100.0%,0,0.0%,1,50.0%,1,50.0%,149,93.7%,10,6.3%,9,100.0%,0,0.0%,24,85.7%,4,14.3%,95,97.9%,2,2.1%,48,85.7%,8,14.3%,65,89.0%,8,11.0%,105,84.0%,20,16.0%,7,100.0%
Cleveland,1,100.0%,0,0.0%,127,80.4%,31,19.6%,9,56.3%,7,43.8%,26,86.7%,4,13.3%,9,100.0%,0,0.0%,285,91.9%,25,8.1%,8,100.0%,0,0.0%,50,73.5%,18,26.5%,84,92.3%,7,7.7%,77,76.2%,24,23.8%,8,66.7%,4,33.3%,69,93.2%,5,6.8%,1,100.0%
Cumbria,0,-,0,-,100,84.7%,18,15.3%,5,62.5%,3,37.5%,10,100.0%,0,0.0%,0,0,0,0,94,93.1%,7,6.9%,5,100.0%,0,0.0%,27,100.0%,0,0.0%,40,97.6%,1,2.4%,42,93.3%,3,6.7%,56,93.3%,4,6.7%,95,85.6%,16,14.4%,3,100.0%
Derbyshire,0,-,0,-,166,79.4%,43,20.6%,7,100.0%,0,0.0%,13,72.2%,5,27.8%,4,57.1%,3,42.9%,120,93.8%,8,6.3%,12,100.0%,0,0.0%,44,88.0%,6,12.0%,63,94.0%,4,6.0%,72,96.0%,3,4.0%,26,83.9%,5,16.1%,107,91.5%,10,8.5%,9,100.0%
Devon and Cornwall,0,-,0,-,169,73.8%,60,26.2%,5,100.0%,0,0.0%,22,100.0%,0,0.0%,1,100.0%,0,0.0%,148,91.4%,14,8.6%,3,75.0%,1,25.0%,49,83.1%,10,16.9%,63,95.5%,3,4.5%,39,86.7%,6,13.3%,78,94.0%,5,6.0%,150,90.4%,16,9.6%,22,100.0%
Dorset,0,-,0,-,101,78.3%,28,21.7%,8,88.9%,1,11.1%,15,100.0%,0,0.0%,3,75.0%,1,25.0%,112,95.7%,5,4.3%,4,100.0%,0,0.0%,26,92.9%,2,7.1%,41,100.0%,0,0.0%,34,91.9%,3,8.1%,1,100.0%,0,0.0%,84,89.4%,10,10.6%,3,100.0%
