,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,51,86.4%,8,13.6%,"9,394",75.3%,"3,074",24.7%,816,69.6%,356,30.4%,"1,494",83.5%,296,16.5%,494,79.8%,125,20.2%,"9,788",92.1%,841,7.9%,778,86.0%,127,14.0%,"2,321",84.5%,426,15.5%,"4,352",94.4%,256,5.6%,"3,927",84.9%,696,15.1%,"1,820",81.3%,418,18.7%,"7,844",84.9%,"1,396",15.1%,735,100.0%
Avon and Somerset,0,-,0,-,264,80.5%,64,19.5%,36,70.6%,15,29.4%,39,84.8%,7,15.2%,21,95.5%,1,4.5%,273,95.8%,12,4.2%,9,60.0%,6,40.0%,64,82.1%,14,17.9%,97,91.5%,9,8.5%,75,84.3%,14,15.7%,61,79.2%,16,20.8%,223,76.4%,69,23.6%,54,100.0%
Bedfordshire,0,-,0,-,84,75.0%,28,25.0%,4,100.0%,0,0.0%,9,90.0%,1,10.0%,8,88.9%,1,11.1%,70,90.9%,7,9.1%,5,100.0%,0,0.0%,20,90.9%,2,9.1%,38,95.0%,2,5.0%,25,86.2%,4,13.8%,17,100.0%,0,0.0%,63,87.5%,9,12.5%,22,100.0%
Cambridgeshire,1,100.0%,0,0.0%,125,79.6%,32,20.4%,14,93.3%,1,6.7%,15,100.0%,0,0.0%,8,66.7%,4,33.3%,108,92.3%,9,7.7%,5,100.0%,0,0.0%,20,76.9%,6,23.1%,56,100.0%,0,0.0%,46,90.2%,5,9.8%,3,33.3%,6,66.7%,84,87.5%,12,12.5%,33,100.0%
Cheshire,1,100.0%,0,0.0%,197,90.0%,22,10.0%,11,84.6%,2,15.4%,31,93.9%,2,6.1%,6,100.0%,0,0.0%,203,93.1%,15,6.9%,10,90.9%,1,9.1%,35,85.4%,6,14.6%,86,92.5%,7,7.5%,95,91.3%,9,8.7%,39,95.1%,2,4.9%,164,91.1%,16,8.9%,14,100.0%
Cleveland,0,-,0,-,126,76.8%,38,23.2%,10,62.5%,6,37.5%,35,89.7%,4,10.3%,7,87.5%,1,12.5%,273,92.5%,22,7.5%,8,100.0%,0,0.0%,53,88.3%,7,11.7%,64,95.5%,3,4.5%,79,79.0%,21,21.0%,13,86.7%,2,13.3%,63,95.5%,3,4.5%,5,100.0%
Cumbria,0,-,0,-,109,87.9%,15,12.1%,2,50.0%,2,50.0%,10,100.0%,0,0.0%,2,33.3%,4,66.7%,105,95.5%,5,4.5%,4,50.0%,4,50.0%,27,93.1%,2,6.9%,39,100.0%,0,0.0%,71,93.4%,5,6.6%,31,83.8%,6,16.2%,93,90.3%,10,9.7%,1,100.0%
Derbyshire,1,100.0%,0,0.0%,163,75.1%,54,24.9%,12,75.0%,4,25.0%,19,79.2%,5,20.8%,12,100.0%,0,0.0%,218,92.0%,19,8.0%,13,92.9%,1,7.1%,52,86.7%,8,13.3%,82,94.3%,5,5.7%,63,85.1%,11,14.9%,43,78.2%,12,21.8%,133,88.1%,18,11.9%,18,100.0%
Devon and Cornwall,0,0.0%,1,100.0%,150,69.8%,65,30.2%,13,92.9%,1,7.1%,15,88.2%,2,11.8%,1,100.0%,0,0.0%,144,93.5%,10,6.5%,6,85.7%,1,14.3%,50,78.1%,14,21.9%,59,92.2%,5,7.8%,43,89.6%,5,10.4%,52,80.0%,13,20.0%,174,86.6%,27,13.4%,26,100.0%
Dorset,0,-,0,-,85,73.3%,31,26.7%,6,54.5%,5,45.5%,6,60.0%,4,40.0%,2,66.7%,1,33.3%,93,90.3%,10,9.7%,3,100.0%,0,0.0%,27,87.1%,4,12.9%,29,100.0%,0,0.0%,34,79.1%,9,20.9%,5,83.3%,1,16.7%,82,91.1%,8,8.9%,10,100.0%
Durham,0,-,0,-,106,73.6%,38,26.4%,7,50.0%,7,50.0%,16,66.7%,8,33.3%,5,100.0%,0,0.0%,139,87.4%,20,12.6%,6,85.7%,1,14.3%,47,79.7%,12,20.3%,21,84.0%,4,16.0%,52,88.1%,7,11.9%,6,54.5%,5,45.5%,73,92.4%,6,7.6%,1,100.0%
Dyfed Powys,0,-,0,-,62,66.0%,32,34.0%,4,80.0%,1,20.0%,2,66.7%,1,33.3%,0,0,0,0,47,94.0%,3,6.0%,3,100.0%,0,0.0%,30,88.2%,4,11.8%,78,96.3%,3,3.7%,26,78.8%,7,21.2%,1,50.0%,1,50.0%,61,80.3%,15,19.7%,2,100.0%
Essex,1,100.0%,0,0.0%,346,81.4%,79,18.6%,27,56.3%,21,43.8%,42,91.3%,4,8.7%,8,72.7%,3,27.3%,246,91.8%,22,8.2%,19,90.5%,2,9.5%,53,81.5%,12,18.5%,89,97.8%,2,2.2%,52,81.3%,12,18.8%,45,95.7%,2,4.3%,190,88.8%,24,11.2%,12,100.0%
Gloucestershire,2,100.0%,0,0.0%,56,72.7%,21,27.3%,6,75.0%,2,25.0%,14,82.4%,3,17.6%,9,100.0%,0,0.0%,100,91.7%,9,8.3%,16,69.6%,7,30.4%,10,83.3%,2,16.7%,35,94.6%,2,5.4%,14,63.6%,8,36.4%,23,79.3%,6,20.7%,72,90.0%,8,10.0%,20,100.0%
GreaterManchester,3,100.0%,0,0.0%,624,81.0%,146,19.0%,45,64.3%,25,35.7%,99,87.6%,14,12.4%,38,90.5%,4,9.5%,500,95.4%,24,4.6%,39,86.7%,6,13.3%,143,87.7%,20,12.3%,201,93.1%,15,6.9%,250,88.0%,34,12.0%,45,76.3%,14,23.7%,400,85.7%,67,14.3%,26,100.0%
