,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,52,70.3%,22,29.7%,"9,508",75.7%,"3,052",24.3%,906,71.8%,356,28.2%,"1,232",86.4%,194,13.6%,316,73.8%,112,26.2%,"8,070",91.4%,763,8.6%,729,85.2%,127,14.8%,"2,235",86.0%,363,14.0%,"3,804",94.3%,230,5.7%,"3,386",84.9%,602,15.1%,"1,555",84.0%,297,16.0%,"7,702",84.3%,"1,432",15.7%,781,100.0%
Avon and Somerset,3,100.0%,0,0.0%,320,78.6%,87,21.4%,40,65.6%,21,34.4%,41,93.2%,3,6.8%,12,66.7%,6,33.3%,234,92.9%,18,7.1%,21,91.3%,2,8.7%,66,88.0%,9,12.0%,118,97.5%,3,2.5%,88,89.8%,10,10.2%,44,89.8%,5,10.2%,183,86.3%,29,13.7%,32,100.0%
Bedfordshire,1,100.0%,0,0.0%,58,66.7%,29,33.3%,5,83.3%,1,16.7%,9,90.0%,1,10.0%,5,83.3%,1,16.7%,58,86.6%,9,13.4%,4,80.0%,1,20.0%,14,93.3%,1,6.7%,13,92.9%,1,7.1%,16,94.1%,1,5.9%,9,75.0%,3,25.0%,53,85.5%,9,14.5%,17,100.0%
Cambridgeshire,0,-,0,-,89,85.6%,15,14.4%,5,62.5%,3,37.5%,11,100.0%,0,0.0%,3,100.0%,0,0.0%,60,89.6%,7,10.4%,6,75.0%,2,25.0%,31,93.9%,2,6.1%,29,100.0%,0,0.0%,20,87.0%,3,13.0%,16,100.0%,0,0.0%,84,89.4%,10,10.6%,12,100.0%
Cheshire,0,-,0,-,188,79.7%,48,20.3%,20,71.4%,8,28.6%,22,91.7%,2,8.3%,4,100.0%,0,0.0%,151,95.0%,8,5.0%,6,100.0%,0,0.0%,49,87.5%,7,12.5%,72,97.3%,2,2.7%,70,89.7%,8,10.3%,13,100.0%,0,0.0%,133,80.1%,33,19.9%,5,100.0%
Cleveland,0,-,0,-,87,75.0%,29,25.0%,13,61.9%,8,38.1%,34,87.2%,5,12.8%,5,100.0%,0,0.0%,261,94.2%,16,5.8%,22,78.6%,6,21.4%,45,95.7%,2,4.3%,46,97.9%,1,2.1%,81,87.1%,12,12.9%,19,70.4%,8,29.6%,78,92.9%,6,7.1%,9,100.0%
Cumbria,0,-,0,-,83,87.4%,12,12.6%,7,70.0%,3,30.0%,4,100.0%,0,0.0%,0,0,0,0,77,93.9%,5,6.1%,5,100.0%,0,0.0%,27,90.0%,3,10.0%,39,97.5%,1,2.5%,57,95.0%,3,5.0%,24,96.0%,1,4.0%,69,93.2%,5,6.8%,3,100.0%
Derbyshire,1,100.0%,0,0.0%,212,81.5%,48,18.5%,13,92.9%,1,7.1%,17,89.5%,2,10.5%,9,81.8%,2,18.2%,152,87.4%,22,12.6%,9,90.0%,1,10.0%,32,72.7%,12,27.3%,60,98.4%,1,1.6%,52,82.5%,11,17.5%,30,81.1%,7,18.9%,127,92.7%,10,7.3%,17,100.0%
Devon and Cornwall,1,50.0%,1,50.0%,192,76.8%,58,23.2%,17,81.0%,4,19.0%,46,93.9%,3,6.1%,7,70.0%,3,30.0%,146,95.4%,7,4.6%,27,90.0%,3,10.0%,55,83.3%,11,16.7%,95,97.9%,2,2.1%,63,85.1%,11,14.9%,82,78.1%,23,21.9%,194,92.4%,16,7.6%,13,100.0%
Dorset,0,-,0,-,140,85.9%,23,14.1%,7,70.0%,3,30.0%,8,88.9%,1,11.1%,1,100.0%,0,0.0%,95,96.9%,3,3.1%,6,100.0%,0,0.0%,19,73.1%,7,26.9%,24,85.7%,4,14.3%,31,88.6%,4,11.4%,2,50.0%,2,50.0%,74,83.1%,15,16.9%,13,100.0%
Durham,0,-,0,-,100,83.3%,20,16.7%,10,83.3%,2,16.7%,18,90.0%,2,10.0%,0,0,0,0,138,93.2%,10,6.8%,7,77.8%,2,22.2%,31,83.8%,6,16.2%,30,100.0%,0,0.0%,58,87.9%,8,12.1%,8,57.1%,6,42.9%,102,90.3%,11,9.7%,5,100.0%
Dyfed Powys,0,-,0,-,68,68.7%,31,31.3%,5,62.5%,3,37.5%,5,100.0%,0,0.0%,1,100.0%,0,0.0%,40,85.1%,7,14.9%,6,100.0%,0,0.0%,17,81.0%,4,19.0%,66,94.3%,4,5.7%,24,82.8%,5,17.2%,2,66.7%,1,33.3%,61,80.3%,15,19.7%,7,100.0%
Essex,1,100.0%,0,0.0%,242,79.1%,64,20.9%,26,70.3%,11,29.7%,14,77.8%,4,22.2%,5,83.3%,1,16.7%,182,94.8%,10,5.2%,16,84.2%,3,15.8%,56,94.9%,3,5.1%,61,91.0%,6,9.0%,33,82.5%,7,17.5%,24,75.0%,8,25.0%,187,83.9%,36,16.1%,13,100.0%
Gloucestershire,1,100.0%,0,0.0%,99,78.6%,27,21.4%,4,100.0%,0,0.0%,6,60.0%,4,40.0%,2,100.0%,0,0.0%,58,93.5%,4,6.5%,3,75.0%,1,25.0%,19,79.2%,5,20.8%,31,100.0%,0,0.0%,12,85.7%,2,14.3%,7,100.0%,0,0.0%,60,92.3%,5,7.7%,7,100.0%
GreaterManchester,0,-,0,-,558,81.7%,125,18.3%,47,69.1%,21,30.9%,53,93.0%,4,7.0%,21,80.8%,5,19.2%,368,94.6%,21,5.4%,23,76.7%,7,23.3%,162,94.2%,10,5.8%,152,92.7%,12,7.3%,224,92.2%,19,7.8%,111,87.4%,16,12.6%,372,83.6%,73,16.4%,42,100.0%
Gwent,1,100.0%,0,0.0%,129,80.1%,32,19.9%,7,77.8%,2,22.2%,15,88.2%,2,11.8%,2,100.0%,0,0.0%,80,92.0%,7,8.0%,2,66.7%,1,33.3%,30,78.9%,8,21.1%,39,100.0%,0,0.0%,52,81.3%,12,18.8%,5,100.0%,0,0.0%,45,88.2%,6,11.8%,3,100.0%
Hampshire,4,100.0%,0,0.0%,283,79.5%,73,20.5%,35,61.4%,22,38.6%,48,100.0%,0,0.0%,9,90.0%,1,10.0%,221,91.3%,21,8.7%,29,80.6%,7,19.4%,57,87.7%,8,12.3%,88,88.9%,11,11.1%,74,88.1%,10,11.9%,13,65.0%,7,35.0%,240,86.0%,39,14.0%,12,100.0%
Hertfordshire,0,-,0,-,107,69.5%,47,30.5%,6,75.0%,2,25.0%,17,77.3%,5,22.7%,3,100.0%,0,0.0%,103,85.1%,18,14.9%,6,66.7%,3,33.3%,21,80.8%,5,19.2%,32,97.0%,1,3.0%,29,82.9%,6,17.1%,8,57.1%,6,42.9%,96,84.2%,18,15.8%,15,100.0%
Humberside,1,100.0%,0,0.0%,163,83.2%,33,16.8%,29,67.4%,14,32.6%,24,85.7%,4,14.3%,3,50.0%,3,50.0%,187,95.9%,8,4.1%,4,66.7%,2,33.3%,43,95.6%,2,4.4%,61,93.8%,4,6.2%,76,91.6%,7,8.4%,7,100.0%,0,0.0%,127,90.1%,14,9.9%,2,100.0%
Kent,4,100.0%,0,0.0%,234,75.5%,76,24.5%,30,81.1%,7,18.9%,35,100.0%,0,0.0%,8,88.9%,1,11.1%,251,88.7%,32,11.3%,26,86.7%,4,13.3%,49,86.0%,8,14.0%,111,95.7%,5,4.3%,61,74.4%,21,25.6%,43,82.7%,9,17.3%,188,86.6%,29,13.4%,24,100.0%
