,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,72,75.8%,23,24.2%,"10,524",74.7%,"3,568",25.3%,975,71.7%,385,28.3%,"1,411",83.4%,281,16.6%,477,81.0%,112,19.0%,"9,711",91.2%,940,8.8%,748,83.2%,151,16.8%,"2,431",83.8%,471,16.2%,"4,326",93.4%,305,6.6%,"3,865",84.5%,709,15.5%,"1,759",83.1%,358,16.9%,"8,644",83.5%,"1,703",16.5%,845,100.0%
Avon and Somerset,6,100.0%,0,0.0%,267,75.2%,88,24.8%,39,56.5%,30,43.5%,25,89.3%,3,10.7%,11,78.6%,3,21.4%,278,95.5%,13,4.5%,17,100.0%,0,0.0%,67,78.8%,18,21.2%,112,94.9%,6,5.1%,93,88.6%,12,11.4%,40,88.9%,5,11.1%,225,86.2%,36,13.8%,32,100.0%
Bedfordshire,1,100.0%,0,0.0%,81,74.3%,28,25.7%,5,62.5%,3,37.5%,17,100.0%,0,0.0%,13,92.9%,1,7.1%,85,93.4%,6,6.6%,10,83.3%,2,16.7%,33,84.6%,6,15.4%,37,92.5%,3,7.5%,34,79.1%,9,20.9%,16,69.6%,7,30.4%,83,89.2%,10,10.8%,13,100.0%
Cambridgeshire,0,-,0,-,96,73.3%,35,26.7%,6,75.0%,2,25.0%,21,91.3%,2,8.7%,5,55.6%,4,44.4%,52,89.7%,6,10.3%,10,90.9%,1,9.1%,23,92.0%,2,8.0%,29,90.6%,3,9.4%,13,100.0%,0,0.0%,15,83.3%,3,16.7%,81,89.0%,10,11.0%,10,100.0%
Cheshire,0,-,0,-,201,83.4%,40,16.6%,18,85.7%,3,14.3%,14,77.8%,4,22.2%,3,75.0%,1,25.0%,156,87.2%,23,12.8%,13,86.7%,2,13.3%,39,81.3%,9,18.8%,84,91.3%,8,8.7%,55,88.7%,7,11.3%,32,82.1%,7,17.9%,157,89.2%,19,10.8%,13,100.0%
Cleveland,1,100.0%,0,0.0%,109,68.6%,50,31.4%,19,90.5%,2,9.5%,39,88.6%,5,11.4%,5,83.3%,1,16.7%,297,90.5%,31,9.5%,10,83.3%,2,16.7%,46,90.2%,5,9.8%,66,91.7%,6,8.3%,103,87.3%,15,12.7%,14,73.7%,5,26.3%,84,91.3%,8,8.7%,6,100.0%
Cumbria,0,-,0,-,92,81.4%,21,18.6%,9,75.0%,3,25.0%,10,71.4%,4,28.6%,2,100.0%,0,0.0%,93,94.9%,5,5.1%,7,100.0%,0,0.0%,31,96.9%,1,3.1%,52,100.0%,0,0.0%,36,92.3%,3,7.7%,34,87.2%,5,12.8%,81,88.0%,11,12.0%,4,100.0%
Derbyshire,0,0.0%,1,100.0%,215,76.2%,67,23.8%,11,61.1%,7,38.9%,28,87.5%,4,12.5%,5,71.4%,2,28.6%,211,94.2%,13,5.8%,20,95.2%,1,4.8%,41,78.8%,11,21.2%,92,92.9%,7,7.1%,101,79.5%,26,20.5%,17,73.9%,6,26.1%,125,89.9%,14,10.1%,12,100.0%
Devon and Cornwall,0,-,0,-,190,72.2%,73,27.8%,4,57.1%,3,42.9%,19,73.1%,7,26.9%,8,100.0%,0,0.0%,173,94.5%,10,5.5%,6,75.0%,2,25.0%,45,91.8%,4,8.2%,77,93.9%,5,6.1%,47,82.5%,10,17.5%,58,96.7%,2,3.3%,200,89.7%,23,10.3%,14,100.0%
Dorset,1,100.0%,0,0.0%,123,82.6%,26,17.4%,13,76.5%,4,23.5%,21,95.5%,1,4.5%,1,100.0%,0,0.0%,111,87.4%,16,12.6%,8,100.0%,0,0.0%,15,78.9%,4,21.1%,47,94.0%,3,6.0%,44,89.8%,5,10.2%,8,88.9%,1,11.1%,84,89.4%,10,10.6%,8,100.0%
