,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,49,77.8%,14,22.2%,"9,627",74.8%,"3,235",25.2%,859,73.0%,317,27.0%,"1,405",83.2%,283,16.8%,495,77.3%,145,22.7%,"9,751",91.2%,938,8.8%,761,84.8%,136,15.2%,"2,489",84.8%,446,15.2%,"4,370",93.7%,293,6.3%,"4,211",85.1%,739,14.9%,"1,934",80.4%,471,19.6%,"8,408",85.4%,"1,439",14.6%,904,100.0%
Avon and Somerset,0,-,0,-,262,79.4%,68,20.6%,29,69.0%,13,31.0%,26,83.9%,5,16.1%,12,100.0%,0,0.0%,290,92.1%,25,7.9%,25,86.2%,4,13.8%,89,91.8%,8,8.2%,105,92.9%,8,7.1%,124,82.7%,26,17.3%,90,83.3%,18,16.7%,242,80.4%,59,19.6%,45,100.0%
Bedfordshire,1,100.0%,0,0.0%,105,74.5%,36,25.5%,11,84.6%,2,15.4%,9,75.0%,3,25.0%,2,100.0%,0,0.0%,110,83.3%,22,16.7%,5,100.0%,0,0.0%,20,71.4%,8,28.6%,33,91.7%,3,8.3%,28,87.5%,4,12.5%,12,85.7%,2,14.3%,84,82.4%,18,17.6%,14,100.0%
Cambridgeshire,0,-,0,-,94,88.7%,12,11.3%,6,100.0%,0,0.0%,2,50.0%,2,50.0%,1,16.7%,5,83.3%,88,92.6%,7,7.4%,5,100.0%,0,0.0%,21,75.0%,7,25.0%,48,96.0%,2,4.0%,32,88.9%,4,11.1%,6,60.0%,4,40.0%,64,92.8%,5,7.2%,10,100.0%
Cheshire,1,100.0%,0,0.0%,195,82.6%,41,17.4%,19,90.5%,2,9.5%,27,96.4%,1,3.6%,8,88.9%,1,11.1%,179,90.4%,19,9.6%,18,72.0%,7,28.0%,40,93.0%,3,7.0%,80,95.2%,4,4.8%,74,87.1%,11,12.9%,46,83.6%,9,16.4%,140,89.2%,17,10.8%,11,100.0%
Cleveland,1,100.0%,0,0.0%,130,79.3%,34,20.7%,6,66.7%,3,33.3%,29,76.3%,9,23.7%,6,85.7%,1,14.3%,283,91.3%,27,8.7%,7,77.8%,2,22.2%,38,74.5%,13,25.5%,79,97.5%,2,2.5%,96,71.1%,39,28.9%,11,61.1%,7,38.9%,69,86.3%,11,13.8%,5,100.0%
Cumbria,0,0.0%,1,100.0%,97,86.6%,15,13.4%,9,90.0%,1,10.0%,7,100.0%,0,0.0%,0,0.0%,1,100.0%,101,91.8%,9,8.2%,11,100.0%,0,0.0%,32,88.9%,4,11.1%,37,100.0%,0,0.0%,35,79.5%,9,20.5%,58,86.6%,9,13.4%,102,85.0%,18,15.0%,7,100.0%
Derbyshire,1,100.0%,0,0.0%,153,75.0%,51,25.0%,12,66.7%,6,33.3%,20,80.0%,5,20.0%,7,58.3%,5,41.7%,157,94.0%,10,6.0%,6,100.0%,0,0.0%,47,83.9%,9,16.1%,69,92.0%,6,8.0%,63,87.5%,9,12.5%,27,75.0%,9,25.0%,120,92.3%,10,7.7%,20,100.0%
Devon and Cornwall,1,100.0%,0,0.0%,165,74.3%,57,25.7%,14,87.5%,2,12.5%,25,89.3%,3,10.7%,8,100.0%,0,0.0%,151,87.3%,22,12.7%,6,100.0%,0,0.0%,52,88.1%,7,11.9%,67,97.1%,2,2.9%,78,81.3%,18,18.8%,75,86.2%,12,13.8%,222,91.0%,22,9.0%,15,100.0%
Dorset,0,-,0,-,96,70.6%,40,29.4%,7,77.8%,2,22.2%,10,66.7%,5,33.3%,8,88.9%,1,11.1%,124,96.9%,4,3.1%,6,100.0%,0,0.0%,23,82.1%,5,17.9%,32,97.0%,1,3.0%,43,91.5%,4,8.5%,13,100.0%,0,0.0%,81,87.1%,12,12.9%,8,100.0%
Durham,1,100.0%,0,0.0%,118,77.6%,34,22.4%,7,63.6%,4,36.4%,22,81.5%,5,18.5%,3,75.0%,1,25.0%,138,86.3%,22,13.8%,12,100.0%,0,0.0%,55,94.8%,3,5.2%,28,93.3%,2,6.7%,55,84.6%,10,15.4%,8,80.0%,2,20.0%,100,91.7%,9,8.3%,5,100.0%
