,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,76,82.6%,16,17.4%,"10,958",75.5%,"3,547",24.5%,981,69.2%,437,30.8%,"1,430",83.2%,288,16.8%,446,75.6%,144,24.4%,"9,248",91.4%,866,8.6%,822,84.6%,150,15.4%,"2,530",84.9%,449,15.1%,"4,402",93.7%,294,6.3%,"3,875",84.2%,725,15.8%,"1,700",81.5%,387,18.5%,"8,936",84.9%,"1,585",15.1%,"1,051",100.0%
Avon and Somerset,7,100.0%,0,0.0%,300,77.1%,89,22.9%,52,74.3%,18,25.7%,30,96.8%,1,3.2%,8,88.9%,1,11.1%,246,93.9%,16,6.1%,18,85.7%,3,14.3%,81,88.0%,11,12.0%,121,91.0%,12,9.0%,98,83.8%,19,16.2%,52,77.6%,15,22.4%,196,83.1%,40,16.9%,24,100.0%
Bedfordshire,0,-,0,-,93,78.2%,26,21.8%,4,57.1%,3,42.9%,16,88.9%,2,11.1%,5,100.0%,0,0.0%,89,94.7%,5,5.3%,23,95.8%,1,4.2%,29,82.9%,6,17.1%,32,91.4%,3,8.6%,31,77.5%,9,22.5%,8,50.0%,8,50.0%,72,91.1%,7,8.9%,21,100.0%
Cambridgeshire,0,-,0,-,154,83.7%,30,16.3%,12,85.7%,2,14.3%,12,80.0%,3,20.0%,7,58.3%,5,41.7%,87,89.7%,10,10.3%,7,87.5%,1,12.5%,40,87.0%,6,13.0%,58,95.1%,3,4.9%,19,86.4%,3,13.6%,17,70.8%,7,29.2%,103,92.8%,8,7.2%,20,100.0%
Cheshire,1,100.0%,0,0.0%,262,85.6%,44,14.4%,27,90.0%,3,10.0%,26,86.7%,4,13.3%,3,75.0%,1,25.0%,187,93.5%,13,6.5%,14,93.3%,1,6.7%,62,92.5%,5,7.5%,80,97.6%,2,2.4%,72,83.7%,14,16.3%,22,81.5%,5,18.5%,143,90.5%,15,9.5%,8,100.0%
Cleveland,0,-,0,-,120,75.0%,40,25.0%,10,58.8%,7,41.2%,36,90.0%,4,10.0%,14,82.4%,3,17.6%,243,93.5%,17,6.5%,12,100.0%,0,0.0%,51,82.3%,11,17.7%,41,95.3%,2,4.7%,80,77.7%,23,22.3%,9,56.3%,7,43.8%,68,91.9%,6,8.1%,6,100.0%
Cumbria,0,-,0,-,117,86.7%,18,13.3%,7,87.5%,1,12.5%,16,88.9%,2,11.1%,3,100.0%,0,0.0%,81,93.1%,6,6.9%,14,93.3%,1,6.7%,42,97.7%,1,2.3%,45,91.8%,4,8.2%,16,88.9%,2,11.1%,42,93.3%,3,6.7%,89,85.6%,15,14.4%,2,100.0%
Derbyshire,0,-,0,-,198,77.0%,59,23.0%,26,89.7%,3,10.3%,28,93.3%,2,6.7%,10,76.9%,3,23.1%,141,87.0%,21,13.0%,11,73.3%,4,26.7%,52,83.9%,10,16.1%,71,93.4%,5,6.6%,85,88.5%,11,11.5%,14,70.0%,6,30.0%,110,83.3%,22,16.7%,16,100.0%
Devon and Cornwall,0,-,0,-,185,77.7%,53,22.3%,12,92.3%,1,7.7%,20,100.0%,0,0.0%,0,0,0,0,148,94.3%,9,5.7%,9,81.8%,2,18.2%,61,91.0%,6,9.0%,64,95.5%,3,4.5%,54,77.1%,16,22.9%,71,81.6%,16,18.4%,249,91.9%,22,8.1%,20,100.0%
Dorset,0,-,0,-,149,78.4%,41,21.6%,13,72.2%,5,27.8%,10,76.9%,3,23.1%,2,100.0%,0,0.0%,137,95.8%,6,4.2%,10,100.0%,0,0.0%,26,83.9%,5,16.1%,51,96.2%,2,3.8%,62,89.9%,7,10.1%,4,80.0%,1,20.0%,90,87.4%,13,12.6%,15,100.0%
