,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,63,84.0%,12,16.0%,"9,260",75.7%,"2,966",24.3%,838,72.4%,319,27.6%,"1,250",84.9%,223,15.1%,431,81.5%,98,18.5%,"8,924",92.5%,722,7.5%,678,85.2%,118,14.8%,"2,264",86.1%,366,13.9%,"3,794",94.4%,223,5.6%,"3,483",84.4%,642,15.6%,"1,733",83.9%,333,16.1%,"7,534",85.3%,"1,295",14.7%,712,100.0%
Avon and Somerset,5,83.3%,1,16.7%,223,74.8%,75,25.2%,44,83.0%,9,17.0%,30,93.8%,2,6.3%,5,83.3%,1,16.7%,237,96.0%,10,4.0%,18,78.3%,5,21.7%,59,92.2%,5,7.8%,92,93.9%,6,6.1%,82,85.4%,14,14.6%,61,82.4%,13,17.6%,209,82.0%,46,18.0%,32,100.0%
Bedfordshire,1,100.0%,0,0.0%,98,73.7%,35,26.3%,6,85.7%,1,14.3%,12,85.7%,2,14.3%,16,94.1%,1,5.9%,86,92.5%,7,7.5%,7,100.0%,0,0.0%,24,80.0%,6,20.0%,30,96.8%,1,3.2%,47,90.4%,5,9.6%,17,85.0%,3,15.0%,65,85.5%,11,14.5%,11,100.0%
Cambridgeshire,1,100.0%,0,0.0%,105,81.4%,24,18.6%,6,66.7%,3,33.3%,11,91.7%,1,8.3%,11,73.3%,4,26.7%,105,95.5%,5,4.5%,8,100.0%,0,0.0%,27,93.1%,2,6.9%,35,92.1%,3,7.9%,41,87.2%,6,12.8%,7,87.5%,1,12.5%,99,87.6%,14,12.4%,15,100.0%
Cheshire,1,100.0%,0,0.0%,241,79.8%,61,20.2%,25,96.2%,1,3.8%,31,86.1%,5,13.9%,3,75.0%,1,25.0%,213,95.1%,11,4.9%,13,86.7%,2,13.3%,54,93.1%,4,6.9%,111,98.2%,2,1.8%,70,89.7%,8,10.3%,47,92.2%,4,7.8%,180,90.9%,18,9.1%,9,100.0%
Cleveland,1,100.0%,0,0.0%,102,72.3%,39,27.7%,11,78.6%,3,21.4%,20,87.0%,3,13.0%,6,100.0%,0,0.0%,237,92.2%,20,7.8%,20,87.0%,3,13.0%,35,85.4%,6,14.6%,41,93.2%,3,6.8%,95,78.5%,26,21.5%,5,55.6%,4,44.4%,74,90.2%,8,9.8%,7,100.0%
Cumbria,0,-,0,-,77,84.6%,14,15.4%,6,100.0%,0,0.0%,13,92.9%,1,7.1%,0,0,0,0,69,94.5%,4,5.5%,5,100.0%,0,0.0%,23,85.2%,4,14.8%,37,97.4%,1,2.6%,40,97.6%,1,2.4%,57,95.0%,3,5.0%,79,84.0%,15,16.0%,1,100.0%
Derbyshire,1,100.0%,0,0.0%,147,73.5%,53,26.5%,18,85.7%,3,14.3%,11,68.8%,5,31.3%,2,25.0%,6,75.0%,125,91.9%,11,8.1%,14,82.4%,3,17.6%,39,79.6%,10,20.4%,69,100.0%,0,0.0%,69,81.2%,16,18.8%,17,77.3%,5,22.7%,109,84.5%,20,15.5%,9,100.0%
Devon and Cornwall,2,100.0%,0,0.0%,181,75.7%,58,24.3%,10,90.9%,1,9.1%,23,82.1%,5,17.9%,5,62.5%,3,37.5%,134,94.4%,8,5.6%,11,91.7%,1,8.3%,50,80.6%,12,19.4%,80,95.2%,4,4.8%,65,79.3%,17,20.7%,68,88.3%,9,11.7%,169,86.2%,27,13.8%,17,100.0%
Dorset,0,-,0,-,97,80.2%,24,19.8%,8,72.7%,3,27.3%,12,92.3%,1,7.7%,0,0,0,0,87,90.6%,9,9.4%,6,75.0%,2,25.0%,25,92.6%,2,7.4%,45,93.8%,3,6.3%,42,85.7%,7,14.3%,4,80.0%,1,20.0%,85,89.5%,10,10.5%,8,100.0%
Durham,0,-,0,-,122,73.5%,44,26.5%,10,76.9%,3,23.1%,15,100.0%,0,0.0%,2,100.0%,0,0.0%,125,91.2%,12,8.8%,3,60.0%,2,40.0%,39,86.7%,6,13.3%,16,84.2%,3,15.8%,54,79.4%,14,20.6%,12,100.0%,0,0.0%,77,93.9%,5,6.1%,0,-
Dyfed Powys,0,-,0,-,57,78.1%,16,21.9%,4,50.0%,4,50.0%,8,80.0%,2,20.0%,0,0,0,0,44,86.3%,7,13.7%,2,100.0%,0,0.0%,25,96.2%,1,3.8%,59,93.7%,4,6.3%,25,86.2%,4,13.8%,2,100.0%,0,0.0%,51,76.1%,16,23.9%,4,100.0%
Essex,0,-,0,-,280,76.7%,85,23.3%,43,71.7%,17,28.3%,12,60.0%,8,40.0%,8,72.7%,3,27.3%,178,93.2%,13,6.8%,15,88.2%,2,11.8%,47,85.5%,8,14.5%,88,97.8%,2,2.2%,32,88.9%,4,11.1%,47,83.9%,9,16.1%,163,79.5%,42,20.5%,24,100.0%
Gloucestershire,0,-,0,-,70,72.9%,26,27.1%,1,100.0%,0,0.0%,16,94.1%,1,5.9%,0,0,0,0,93,93.0%,7,7.0%,6,85.7%,1,14.3%,18,90.0%,2,10.0%,17,100.0%,0,0.0%,13,100.0%,0,0.0%,14,70.0%,6,30.0%,51,86.4%,8,13.6%,11,100.0%
