,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,112,84.2%,21,15.8%,"11,080",78.2%,"3,080",21.8%,"1,091",74.2%,380,25.8%,"1,152",83.7%,224,16.3%,398,82.2%,86,17.8%,"7,790",91.9%,688,8.1%,939,87.3%,137,12.7%,"2,061",85.7%,343,14.3%,"4,173",93.6%,284,6.4%,"3,508",84.2%,659,15.8%,793,86.0%,129,14.0%,"7,729",84.8%,"1,381",15.2%,770,100.0%
Avon and Somerset,3,100.0%,0,0.0%,301,82.2%,65,17.8%,61,75.3%,20,24.7%,27,84.4%,5,15.6%,4,57.1%,3,42.9%,240,92.7%,19,7.3%,11,91.7%,1,8.3%,56,86.2%,9,13.8%,111,88.1%,15,11.9%,75,84.3%,14,15.7%,9,90.0%,1,10.0%,203,87.9%,28,12.1%,21,100.0%
Bedfordshire,4,100.0%,0,0.0%,99,78.6%,27,21.4%,3,60.0%,2,40.0%,12,100.0%,0,0.0%,12,92.3%,1,7.7%,71,94.7%,4,5.3%,7,87.5%,1,12.5%,23,79.3%,6,20.7%,38,95.0%,2,5.0%,23,76.7%,7,23.3%,5,83.3%,1,16.7%,94,79.0%,25,21.0%,8,100.0%
Cambridgeshire,0,-,0,-,158,77.8%,45,22.2%,16,100.0%,0,0.0%,8,100.0%,0,0.0%,13,92.9%,1,7.1%,99,98.0%,2,2.0%,10,90.9%,1,9.1%,39,83.0%,8,17.0%,28,93.3%,2,6.7%,34,85.0%,6,15.0%,11,73.3%,4,26.7%,98,92.5%,8,7.5%,17,100.0%
Cheshire,1,100.0%,0,0.0%,258,83.2%,52,16.8%,23,100.0%,0,0.0%,15,83.3%,3,16.7%,5,55.6%,4,44.4%,169,97.1%,5,2.9%,14,100.0%,0,0.0%,39,84.8%,7,15.2%,85,97.7%,2,2.3%,100,90.1%,11,9.9%,10,83.3%,2,16.7%,191,89.7%,22,10.3%,12,100.0%
Cleveland,7,100.0%,0,0.0%,126,78.3%,35,21.7%,9,81.8%,2,18.2%,26,86.7%,4,13.3%,29,82.9%,6,17.1%,228,94.6%,13,5.4%,11,78.6%,3,21.4%,31,86.1%,5,13.9%,67,94.4%,4,5.6%,43,76.8%,13,23.2%,12,92.3%,1,7.7%,89,92.7%,7,7.3%,8,100.0%
Cumbria,0,-,0,-,125,82.8%,26,17.2%,4,100.0%,0,0.0%,17,81.0%,4,19.0%,0,0,0,0,87,93.5%,6,6.5%,10,90.9%,1,9.1%,26,89.7%,3,10.3%,37,92.5%,3,7.5%,57,91.9%,5,8.1%,9,90.0%,1,10.0%,83,89.2%,10,10.8%,3,100.0%
Derbyshire,1,100.0%,0,0.0%,216,85.4%,37,14.6%,5,100.0%,0,0.0%,17,100.0%,0,0.0%,9,69.2%,4,30.8%,130,87.8%,18,12.2%,9,52.9%,8,47.1%,40,80.0%,10,20.0%,51,92.7%,4,7.3%,85,90.4%,9,9.6%,22,81.5%,5,18.5%,143,84.6%,26,15.4%,19,100.0%
Devon and Cornwall,7,100.0%,0,0.0%,234,81.8%,52,18.2%,17,73.9%,6,26.1%,16,72.7%,6,27.3%,6,100.0%,0,0.0%,108,91.5%,10,8.5%,14,87.5%,2,12.5%,43,91.5%,4,8.5%,63,96.9%,2,3.1%,59,81.9%,13,18.1%,5,100.0%,0,0.0%,208,85.6%,35,14.4%,19,100.0%
Dorset,1,50.0%,1,50.0%,145,87.3%,21,12.7%,6,66.7%,3,33.3%,12,92.3%,1,7.7%,2,50.0%,2,50.0%,92,95.8%,4,4.2%,10,90.9%,1,9.1%,26,100.0%,0,0.0%,47,100.0%,0,0.0%,33,91.7%,3,8.3%,7,100.0%,0,0.0%,89,90.8%,9,9.2%,11,100.0%
