,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,125,83.3%,25,16.7%,"11,455",78.7%,"3,097",21.3%,"1,149",72.0%,447,28.0%,"1,278",83.3%,256,16.7%,359,80.7%,86,19.3%,"8,346",92.4%,690,7.6%,"1,075",85.7%,180,14.3%,"1,925",83.9%,370,16.1%,"4,383",94.2%,271,5.8%,"3,458",84.4%,638,15.6%,787,84.4%,145,15.6%,"7,598",84.3%,"1,412",15.7%,740,100.0%
Avon and Somerset,2,66.7%,1,33.3%,275,81.4%,63,18.6%,37,69.8%,16,30.2%,25,96.2%,1,3.8%,12,85.7%,2,14.3%,200,92.2%,17,7.8%,34,82.9%,7,17.1%,63,82.9%,13,17.1%,97,99.0%,1,1.0%,70,90.9%,7,9.1%,11,100.0%,0,0.0%,196,87.1%,29,12.9%,15,100.0%
Bedfordshire,0,-,0,-,89,77.4%,26,22.6%,12,100.0%,0,0.0%,10,90.9%,1,9.1%,6,100.0%,0,0.0%,71,95.9%,3,4.1%,10,83.3%,2,16.7%,13,81.3%,3,18.8%,29,90.6%,3,9.4%,15,83.3%,3,16.7%,7,87.5%,1,12.5%,92,76.0%,29,24.0%,13,100.0%
Cambridgeshire,2,100.0%,0,0.0%,151,81.6%,34,18.4%,17,77.3%,5,22.7%,19,90.5%,2,9.5%,5,83.3%,1,16.7%,120,90.9%,12,9.1%,9,81.8%,2,18.2%,23,74.2%,8,25.8%,30,96.8%,1,3.2%,34,85.0%,6,15.0%,14,77.8%,4,22.2%,109,87.9%,15,12.1%,16,100.0%
Cheshire,1,50.0%,1,50.0%,280,85.9%,46,14.1%,27,77.1%,8,22.9%,26,96.3%,1,3.7%,6,100.0%,0,0.0%,174,94.6%,10,5.4%,26,100.0%,0,0.0%,37,88.1%,5,11.9%,116,98.3%,2,1.7%,111,90.2%,12,9.8%,13,100.0%,0,0.0%,156,86.7%,24,13.3%,11,100.0%
Cleveland,1,100.0%,0,0.0%,121,75.6%,39,24.4%,6,100.0%,0,0.0%,29,80.6%,7,19.4%,2,100.0%,0,0.0%,238,96.0%,10,4.0%,8,80.0%,2,20.0%,38,88.4%,5,11.6%,54,79.4%,14,20.6%,60,85.7%,10,14.3%,6,100.0%,0,0.0%,79,87.8%,11,12.2%,3,100.0%
Cumbria,0,-,0,-,116,85.9%,19,14.1%,6,100.0%,0,0.0%,6,100.0%,0,0.0%,1,100.0%,0,0.0%,73,90.1%,8,9.9%,6,75.0%,2,25.0%,28,93.3%,2,6.7%,39,95.1%,2,4.9%,42,95.5%,2,4.5%,12,100.0%,0,0.0%,81,91.0%,8,9.0%,2,100.0%
Derbyshire,0,-,0,-,242,83.7%,47,16.3%,3,100.0%,0,0.0%,14,73.7%,5,26.3%,9,69.2%,4,30.8%,170,86.3%,27,13.7%,21,95.5%,1,4.5%,61,87.1%,9,12.9%,56,93.3%,4,6.7%,58,86.6%,9,13.4%,24,100.0%,0,0.0%,112,89.6%,13,10.4%,6,100.0%
Devon and Cornwall,4,80.0%,1,20.0%,267,82.7%,56,17.3%,18,90.0%,2,10.0%,28,96.6%,1,3.4%,3,42.9%,4,57.1%,102,95.3%,5,4.7%,19,82.6%,4,17.4%,30,85.7%,5,14.3%,73,98.6%,1,1.4%,51,83.6%,10,16.4%,9,64.3%,5,35.7%,204,84.6%,37,15.4%,16,100.0%
Dorset,1,100.0%,0,0.0%,142,87.7%,20,12.3%,11,91.7%,1,8.3%,12,85.7%,2,14.3%,0,0,0,0,103,96.3%,4,3.7%,9,90.0%,1,10.0%,26,96.3%,1,3.7%,54,98.2%,1,1.8%,49,86.0%,8,14.0%,10,90.9%,1,9.1%,97,92.4%,8,7.6%,10,100.0%
