,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,63,80.8%,15,19.2%,"10,343",77.1%,"3,064",22.9%,"1,088",75.0%,362,25.0%,"1,086",83.9%,209,16.1%,367,80.7%,88,19.3%,"7,147",91.8%,640,8.2%,832,86.4%,131,13.6%,"1,955",83.7%,381,16.3%,"4,006",93.8%,267,6.2%,"3,463",85.7%,576,14.3%,707,87.2%,104,12.8%,"7,192",85.2%,"1,252",14.8%,771,100.0%
Avon and Somerset,0,-,0,-,272,84.2%,51,15.8%,49,71.0%,20,29.0%,46,92.0%,4,8.0%,6,100.0%,0,0.0%,154,89.0%,19,11.0%,16,100.0%,0,0.0%,58,86.6%,9,13.4%,78,84.8%,14,15.2%,84,87.5%,12,12.5%,8,61.5%,5,38.5%,141,82.9%,29,17.1%,25,100.0%
Bedfordshire,0,-,0,-,99,79.8%,25,20.2%,6,85.7%,1,14.3%,7,77.8%,2,22.2%,10,90.9%,1,9.1%,60,90.9%,6,9.1%,4,80.0%,1,20.0%,13,76.5%,4,23.5%,33,91.7%,3,8.3%,24,92.3%,2,7.7%,7,100.0%,0,0.0%,83,83.0%,17,17.0%,10,100.0%
Cambridgeshire,1,50.0%,1,50.0%,125,80.1%,31,19.9%,7,70.0%,3,30.0%,7,87.5%,1,12.5%,4,50.0%,4,50.0%,95,91.3%,9,8.7%,15,93.8%,1,6.3%,21,80.8%,5,19.2%,38,97.4%,1,2.6%,34,87.2%,5,12.8%,6,100.0%,0,0.0%,73,91.3%,7,8.8%,14,100.0%
Cheshire,2,100.0%,0,0.0%,264,81.2%,61,18.8%,23,71.9%,9,28.1%,18,94.7%,1,5.3%,1,100.0%,0,0.0%,173,93.5%,12,6.5%,17,94.4%,1,5.6%,51,92.7%,4,7.3%,74,94.9%,4,5.1%,108,89.3%,13,10.7%,16,94.1%,1,5.9%,208,88.9%,26,11.1%,5,100.0%
Cleveland,0,-,0,-,116,73.9%,41,26.1%,8,100.0%,0,0.0%,38,80.9%,9,19.1%,4,100.0%,0,0.0%,200,96.2%,8,3.8%,6,100.0%,0,0.0%,28,73.7%,10,26.3%,81,92.0%,7,8.0%,47,87.0%,7,13.0%,9,64.3%,5,35.7%,65,91.5%,6,8.5%,6,100.0%
Cumbria,1,100.0%,0,0.0%,102,87.9%,14,12.1%,11,100.0%,0,0.0%,8,80.0%,2,20.0%,0,0,0,0,98,94.2%,6,5.8%,5,83.3%,1,16.7%,24,77.4%,7,22.6%,33,100.0%,0,0.0%,48,96.0%,2,4.0%,4,100.0%,0,0.0%,83,96.5%,3,3.5%,2,100.0%
Derbyshire,1,100.0%,0,0.0%,152,80.9%,36,19.1%,4,100.0%,0,0.0%,10,76.9%,3,23.1%,7,77.8%,2,22.2%,113,93.4%,8,6.6%,7,77.8%,2,22.2%,24,80.0%,6,20.0%,55,91.7%,5,8.3%,64,85.3%,11,14.7%,17,81.0%,4,19.0%,118,78.7%,32,21.3%,14,100.0%
Devon and Cornwall,0,0.0%,1,100.0%,215,81.1%,50,18.9%,21,95.5%,1,4.5%,21,75.0%,7,25.0%,10,100.0%,0,0.0%,110,95.7%,5,4.3%,21,91.3%,2,8.7%,50,94.3%,3,5.7%,67,93.1%,5,6.9%,61,85.9%,10,14.1%,10,100.0%,0,0.0%,171,86.4%,27,13.6%,6,100.0%
Dorset,4,100.0%,0,0.0%,134,83.8%,26,16.3%,12,85.7%,2,14.3%,16,88.9%,2,11.1%,4,80.0%,1,20.0%,90,94.7%,5,5.3%,2,100.0%,0,0.0%,23,85.2%,4,14.8%,43,100.0%,0,0.0%,40,90.9%,4,9.1%,8,100.0%,0,0.0%,106,90.6%,11,9.4%,17,100.0%
Durham,0,-,0,-,91,78.4%,25,21.6%,6,100.0%,0,0.0%,8,88.9%,1,11.1%,5,83.3%,1,16.7%,121,95.3%,6,4.7%,19,95.0%,1,5.0%,23,92.0%,2,8.0%,19,100.0%,0,0.0%,35,89.7%,4,10.3%,8,88.9%,1,11.1%,70,94.6%,4,5.4%,8,100.0%
Dyfed Powys,0,-,0,-,83,87.4%,12,12.6%,7,77.8%,2,22.2%,4,80.0%,1,20.0%,4,100.0%,0,0.0%,32,94.1%,2,5.9%,7,87.5%,1,12.5%,26,89.7%,3,10.3%,59,93.7%,4,6.3%,22,95.7%,1,4.3%,7,100.0%,0,0.0%,70,79.5%,18,20.5%,1,100.0%
Essex,4,100.0%,0,0.0%,272,75.3%,89,24.7%,37,62.7%,22,37.3%,17,81.0%,4,19.0%,11,78.6%,3,21.4%,165,85.1%,29,14.9%,15,71.4%,6,28.6%,59,92.2%,5,7.8%,118,96.7%,4,3.3%,68,81.9%,15,18.1%,10,90.9%,1,9.1%,206,85.1%,36,14.9%,24,100.0%
Gloucestershire,0,-,0,-,74,69.2%,33,30.8%,3,75.0%,1,25.0%,11,100.0%,0,0.0%,0,0.0%,1,100.0%,48,92.3%,4,7.7%,6,85.7%,1,14.3%,17,85.0%,3,15.0%,27,93.1%,2,6.9%,30,88.2%,4,11.8%,5,83.3%,1,16.7%,67,93.1%,5,6.9%,10,100.0%
GreaterManchester,3,100.0%,0,0.0%,521,79.4%,135,20.6%,81,68.6%,37,31.4%,61,92.4%,5,7.6%,10,62.5%,6,37.5%,270,94.4%,16,5.6%,23,95.8%,1,4.2%,93,88.6%,12,11.4%,109,92.4%,9,7.6%,154,88.5%,20,11.5%,33,89.2%,4,10.8%,348,85.3%,60,14.7%,36,100.0%
Gwent,1,100.0%,0,0.0%,112,84.8%,20,15.2%,6,60.0%,4,40.0%,9,81.8%,2,18.2%,5,83.3%,1,16.7%,74,94.9%,4,5.1%,6,100.0%,0,0.0%,25,73.5%,9,26.5%,41,93.2%,3,6.8%,20,100.0%,0,0.0%,2,50.0%,2,50.0%,75,87.2%,11,12.8%,4,100.0%
Hampshire,4,100.0%,0,0.0%,236,84.0%,45,16.0%,39,84.8%,7,15.2%,28,96.6%,1,3.4%,8,88.9%,1,11.1%,172,96.6%,6,3.4%,21,91.3%,2,8.7%,46,93.9%,3,6.1%,68,94.4%,4,5.6%,88,91.7%,8,8.3%,11,84.6%,2,15.4%,196,92.9%,15,7.1%,30,100.0%
Hertfordshire,0,0.0%,1,100.0%,187,78.6%,51,21.4%,17,89.5%,2,10.5%,10,76.9%,3,23.1%,6,100.0%,0,0.0%,161,94.7%,9,5.3%,23,92.0%,2,8.0%,30,75.0%,10,25.0%,91,93.8%,6,6.2%,54,87.1%,8,12.9%,11,78.6%,3,21.4%,112,81.2%,26,18.8%,10,100.0%
Humberside,2,100.0%,0,0.0%,155,81.6%,35,18.4%,23,67.6%,11,32.4%,17,73.9%,6,26.1%,11,91.7%,1,8.3%,154,94.5%,9,5.5%,8,100.0%,0,0.0%,46,97.9%,1,2.1%,65,94.2%,4,5.8%,82,92.1%,7,7.9%,7,77.8%,2,22.2%,111,86.0%,18,14.0%,10,100.0%
Kent,4,100.0%,0,0.0%,265,80.1%,66,19.9%,25,67.6%,12,32.4%,22,78.6%,6,21.4%,12,80.0%,3,20.0%,136,89.5%,16,10.5%,33,91.7%,3,8.3%,34,91.9%,3,8.1%,98,96.1%,4,3.9%,64,87.7%,9,12.3%,25,96.2%,1,3.8%,163,87.6%,23,12.4%,16,100.0%
Lancashire,2,100.0%,0,0.0%,260,83.6%,51,16.4%,16,88.9%,2,11.1%,43,89.6%,5,10.4%,5,83.3%,1,16.7%,223,93.3%,16,6.7%,19,95.0%,1,5.0%,43,81.1%,10,18.9%,74,93.7%,5,6.3%,127,84.7%,23,15.3%,18,94.7%,1,5.3%,208,84.6%,38,15.4%,6,100.0%
Leicestershire,2,100.0%,0,0.0%,143,79.9%,36,20.1%,14,70.0%,6,30.0%,11,68.8%,5,31.3%,2,100.0%,0,0.0%,109,95.6%,5,4.4%,5,83.3%,1,16.7%,35,83.3%,7,16.7%,26,100.0%,0,0.0%,32,94.1%,2,5.9%,9,64.3%,5,35.7%,112,77.8%,32,22.2%,7,100.0%
Lincolnshire,2,100.0%,0,0.0%,160,83.8%,31,16.2%,7,100.0%,0,0.0%,27,90.0%,3,10.0%,1,100.0%,0,0.0%,118,87.4%,17,12.6%,9,90.0%,1,10.0%,28,87.5%,4,12.5%,25,100.0%,0,0.0%,75,88.2%,10,11.8%,20,76.9%,6,23.1%,136,87.7%,19,12.3%,7,100.0%
Merseyside,0,-,0,-,301,82.0%,66,18.0%,36,92.3%,3,7.7%,23,100.0%,0,0.0%,13,92.9%,1,7.1%,208,94.5%,12,5.5%,21,100.0%,0,0.0%,74,91.4%,7,8.6%,199,95.7%,9,4.3%,100,91.7%,9,8.3%,28,90.3%,3,9.7%,270,90.0%,30,10.0%,7,100.0%
Metropolitan and City,13,72.2%,5,27.8%,"1,697",67.4%,821,32.6%,131,66.8%,65,33.2%,179,78.5%,49,21.5%,84,76.4%,26,23.6%,"1,045",84.7%,189,15.3%,235,82.2%,51,17.8%,244,77.0%,73,23.0%,"1,029",91.7%,93,8.3%,491,76.2%,153,23.8%,129,88.4%,17,11.6%,973,76.6%,298,23.4%,190,100.0%
