,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,125,83.3%,25,16.7%,"9,015",78.0%,"2,543",22.0%,992,75.8%,317,24.2%,"1,040",85.3%,179,14.7%,284,75.7%,91,24.3%,"6,707",92.7%,526,7.3%,762,86.9%,115,13.1%,"1,596",84.0%,303,16.0%,"3,608",93.4%,254,6.6%,"2,766",85.3%,478,14.7%,635,87.6%,90,12.4%,"6,656",86.1%,"1,077",13.9%,937,100.0%
Avon and Somerset,6,75.0%,2,25.0%,299,81.0%,70,19.0%,37,71.2%,15,28.8%,30,71.4%,12,28.6%,9,100.0%,0,0.0%,205,93.2%,15,6.8%,9,60.0%,6,40.0%,40,78.4%,11,21.6%,81,94.2%,5,5.8%,74,81.3%,17,18.7%,16,76.2%,5,23.8%,164,89.6%,19,10.4%,30,100.0%
Bedfordshire,1,100.0%,0,0.0%,70,69.3%,31,30.7%,3,75.0%,1,25.0%,5,100.0%,0,0.0%,4,66.7%,2,33.3%,58,80.6%,14,19.4%,8,100.0%,0,0.0%,18,94.7%,1,5.3%,30,100.0%,0,0.0%,19,95.0%,1,5.0%,4,66.7%,2,33.3%,95,79.8%,24,20.2%,22,100.0%
Cambridgeshire,1,100.0%,0,0.0%,96,85.7%,16,14.3%,6,85.7%,1,14.3%,22,100.0%,0,0.0%,1,100.0%,0,0.0%,114,92.7%,9,7.3%,10,90.9%,1,9.1%,11,73.3%,4,26.7%,34,97.1%,1,2.9%,23,82.1%,5,17.9%,3,100.0%,0,0.0%,105,91.3%,10,8.7%,13,100.0%
Cheshire,1,50.0%,1,50.0%,192,75.6%,62,24.4%,20,74.1%,7,25.9%,9,100.0%,0,0.0%,3,100.0%,0,0.0%,169,98.3%,3,1.7%,12,100.0%,0,0.0%,29,87.9%,4,12.1%,73,98.6%,1,1.4%,71,93.4%,5,6.6%,13,92.9%,1,7.1%,172,92.0%,15,8.0%,11,100.0%
Cleveland,4,100.0%,0,0.0%,124,81.0%,29,19.0%,6,100.0%,0,0.0%,40,88.9%,5,11.1%,3,75.0%,1,25.0%,200,95.7%,9,4.3%,29,93.5%,2,6.5%,24,75.0%,8,25.0%,65,92.9%,5,7.1%,49,84.5%,9,15.5%,14,93.3%,1,6.7%,85,89.5%,10,10.5%,11,100.0%
Cumbria,2,100.0%,0,0.0%,97,94.2%,6,5.8%,5,100.0%,0,0.0%,6,85.7%,1,14.3%,4,100.0%,0,0.0%,83,97.6%,2,2.4%,5,100.0%,0,0.0%,25,92.6%,2,7.4%,35,97.2%,1,2.8%,46,90.2%,5,9.8%,5,100.0%,0,0.0%,90,92.8%,7,7.2%,1,100.0%
Derbyshire,1,100.0%,0,0.0%,112,74.7%,38,25.3%,11,100.0%,0,0.0%,14,82.4%,3,17.6%,2,50.0%,2,50.0%,128,96.2%,5,3.8%,4,66.7%,2,33.3%,34,87.2%,5,12.8%,45,97.8%,1,2.2%,41,89.1%,5,10.9%,7,100.0%,0,0.0%,69,87.3%,10,12.7%,11,100.0%
Devon and Cornwall,5,100.0%,0,0.0%,183,78.9%,49,21.1%,12,85.7%,2,14.3%,21,91.3%,2,8.7%,1,50.0%,1,50.0%,145,97.3%,4,2.7%,10,100.0%,0,0.0%,35,87.5%,5,12.5%,82,96.5%,3,3.5%,67,90.5%,7,9.5%,18,90.0%,2,10.0%,173,89.6%,20,10.4%,9,100.0%
Dorset,0,-,0,-,117,90.7%,12,9.3%,9,90.0%,1,10.0%,11,78.6%,3,21.4%,5,100.0%,0,0.0%,77,98.7%,1,1.3%,5,71.4%,2,28.6%,19,95.0%,1,5.0%,41,95.3%,2,4.7%,28,84.8%,5,15.2%,3,100.0%,0,0.0%,86,94.5%,5,5.5%,7,100.0%
Durham,1,100.0%,0,0.0%,88,82.2%,19,17.8%,4,100.0%,0,0.0%,17,85.0%,3,15.0%,0,0,0,0,105,93.8%,7,6.3%,6,100.0%,0,0.0%,23,76.7%,7,23.3%,13,92.9%,1,7.1%,21,75.0%,7,25.0%,5,100.0%,0,0.0%,100,92.6%,8,7.4%,4,100.0%
Dyfed Powys,1,50.0%,1,50.0%,69,80.2%,17,19.8%,3,75.0%,1,25.0%,7,77.8%,2,22.2%,1,100.0%,0,0.0%,21,95.5%,1,4.5%,1,100.0%,0,0.0%,14,100.0%,0,0.0%,38,97.4%,1,2.6%,16,84.2%,3,15.8%,4,100.0%,0,0.0%,69,84.1%,13,15.9%,6,100.0%
Essex,6,85.7%,1,14.3%,238,80.4%,58,19.6%,41,85.4%,7,14.6%,35,83.3%,7,16.7%,6,75.0%,2,25.0%,173,92.0%,15,8.0%,16,84.2%,3,15.8%,33,86.8%,5,13.2%,82,96.5%,3,3.5%,42,87.5%,6,12.5%,15,78.9%,4,21.1%,163,84.5%,30,15.5%,11,100.0%
Gloucestershire,3,100.0%,0,0.0%,63,82.9%,13,17.1%,2,100.0%,0,0.0%,11,91.7%,1,8.3%,3,75.0%,1,25.0%,46,93.9%,3,6.1%,5,100.0%,0,0.0%,8,72.7%,3,27.3%,23,92.0%,2,8.0%,7,70.0%,3,30.0%,4,100.0%,0,0.0%,55,96.5%,2,3.5%,10,100.0%
GreaterManchester,6,100.0%,0,0.0%,474,80.6%,114,19.4%,85,77.3%,25,22.7%,58,93.5%,4,6.5%,31,86.1%,5,13.9%,231,95.1%,12,4.9%,26,96.3%,1,3.7%,84,91.3%,8,8.7%,147,94.8%,8,5.2%,100,89.3%,12,10.7%,42,89.4%,5,10.6%,284,81.4%,65,18.6%,23,100.0%
Gwent,1,100.0%,0,0.0%,105,81.4%,24,18.6%,11,84.6%,2,15.4%,16,88.9%,2,11.1%,0,0,0,0,76,97.4%,2,2.6%,6,100.0%,0,0.0%,21,84.0%,4,16.0%,33,91.7%,3,8.3%,36,92.3%,3,7.7%,4,100.0%,0,0.0%,87,85.3%,15,14.7%,1,100.0%
Hampshire,4,100.0%,0,0.0%,196,85.2%,34,14.8%,26,81.3%,6,18.8%,30,100.0%,0,0.0%,2,100.0%,0,0.0%,185,94.9%,10,5.1%,18,81.8%,4,18.2%,36,92.3%,3,7.7%,88,97.8%,2,2.2%,56,81.2%,13,18.8%,15,93.8%,1,6.3%,175,95.1%,9,4.9%,19,100.0%
Hertfordshire,5,100.0%,0,0.0%,144,81.8%,32,18.2%,9,90.0%,1,10.0%,7,77.8%,2,22.2%,2,100.0%,0,0.0%,128,92.8%,10,7.2%,17,81.0%,4,19.0%,24,85.7%,4,14.3%,67,97.1%,2,2.9%,32,82.1%,7,17.9%,12,85.7%,2,14.3%,121,83.4%,24,16.6%,20,100.0%
Humberside,1,100.0%,0,0.0%,201,84.5%,37,15.5%,25,75.8%,8,24.2%,39,86.7%,6,13.3%,7,87.5%,1,12.5%,141,92.2%,12,7.8%,10,100.0%,0,0.0%,40,87.0%,6,13.0%,53,89.8%,6,10.2%,71,84.5%,13,15.5%,13,100.0%,0,0.0%,101,91.8%,9,8.2%,4,100.0%
