,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,88,81.5%,20,18.5%,"11,741",78.3%,"3,262",21.7%,971,72.6%,367,27.4%,"1,371",85.0%,242,15.0%,419,78.6%,114,21.4%,"8,276",91.6%,757,8.4%,"1,027",85.7%,171,14.3%,"2,166",85.4%,369,14.6%,"4,457",93.6%,303,6.4%,"3,597",83.3%,722,16.7%,710,85.0%,125,15.0%,"7,962",84.1%,"1,509",15.9%,963,100.0%
Avon and Somerset,6,100.0%,0,0.0%,348,76.8%,105,23.2%,50,65.8%,26,34.2%,37,86.0%,6,14.0%,10,100.0%,0,0.0%,203,88.6%,26,11.4%,18,81.8%,4,18.2%,55,83.3%,11,16.7%,127,95.5%,6,4.5%,63,78.8%,17,21.3%,9,75.0%,3,25.0%,220,73.8%,78,26.2%,151,100.0%
Bedfordshire,1,100.0%,0,0.0%,180,79.3%,47,20.7%,14,93.3%,1,6.7%,21,91.3%,2,8.7%,7,58.3%,5,41.7%,151,95.6%,7,4.4%,5,83.3%,1,16.7%,42,91.3%,4,8.7%,44,95.7%,2,4.3%,42,76.4%,13,23.6%,3,75.0%,1,25.0%,137,82.5%,29,17.5%,9,100.0%
Cambridgeshire,3,60.0%,2,40.0%,132,83.0%,27,17.0%,11,84.6%,2,15.4%,26,83.9%,5,16.1%,7,77.8%,2,22.2%,72,94.7%,4,5.3%,10,90.9%,1,9.1%,11,84.6%,2,15.4%,34,97.1%,1,2.9%,33,91.7%,3,8.3%,4,100.0%,0,0.0%,92,86.8%,14,13.2%,17,100.0%
Cheshire,2,100.0%,0,0.0%,302,83.7%,59,16.3%,27,71.1%,11,28.9%,21,87.5%,3,12.5%,3,50.0%,3,50.0%,162,97.6%,4,2.4%,11,100.0%,0,0.0%,43,91.5%,4,8.5%,112,97.4%,3,2.6%,131,95.6%,6,4.4%,4,100.0%,0,0.0%,186,93.5%,13,6.5%,6,100.0%
Cleveland,2,100.0%,0,0.0%,148,82.2%,32,17.8%,9,81.8%,2,18.2%,34,87.2%,5,12.8%,4,100.0%,0,0.0%,248,94.7%,14,5.3%,6,100.0%,0,0.0%,46,88.5%,6,11.5%,62,89.9%,7,10.1%,56,86.2%,9,13.8%,13,92.9%,1,7.1%,99,92.5%,8,7.5%,4,100.0%
Cumbria,0,-,0,-,106,86.2%,17,13.8%,4,100.0%,0,0.0%,4,100.0%,0,0.0%,0,0,0,0,79,98.8%,1,1.3%,3,60.0%,2,40.0%,16,94.1%,1,5.9%,37,92.5%,3,7.5%,45,93.8%,3,6.3%,4,36.4%,7,63.6%,78,89.7%,9,10.3%,3,100.0%
Derbyshire,0,0.0%,1,100.0%,213,76.1%,67,23.9%,9,100.0%,0,0.0%,22,81.5%,5,18.5%,6,85.7%,1,14.3%,129,91.5%,12,8.5%,14,87.5%,2,12.5%,50,76.9%,15,23.1%,64,91.4%,6,8.6%,56,81.2%,13,18.8%,9,81.8%,2,18.2%,132,93.0%,10,7.0%,18,100.0%
Devon and Cornwall,4,100.0%,0,0.0%,234,71.6%,93,28.4%,16,84.2%,3,15.8%,33,80.5%,8,19.5%,5,100.0%,0,0.0%,137,90.1%,15,9.9%,19,76.0%,6,24.0%,41,91.1%,4,8.9%,76,93.8%,5,6.2%,70,85.4%,12,14.6%,7,87.5%,1,12.5%,180,87.4%,26,12.6%,21,100.0%
Dorset,0,-,0,-,142,79.8%,36,20.2%,9,75.0%,3,25.0%,17,94.4%,1,5.6%,0,0,0,0,88,97.8%,2,2.2%,10,100.0%,0,0.0%,21,95.5%,1,4.5%,37,94.9%,2,5.1%,44,91.7%,4,8.3%,5,100.0%,0,0.0%,71,95.9%,3,4.1%,8,100.0%
Durham,2,66.7%,1,33.3%,162,79.8%,41,20.2%,5,100.0%,0,0.0%,24,96.0%,1,4.0%,3,60.0%,2,40.0%,131,91.6%,12,8.4%,13,92.9%,1,7.1%,29,82.9%,6,17.1%,28,93.3%,2,6.7%,30,83.3%,6,16.7%,6,66.7%,3,33.3%,88,94.6%,5,5.4%,4,100.0%
Dyfed Powys,0,-,0,-,70,85.4%,12,14.6%,6,60.0%,4,40.0%,3,60.0%,2,40.0%,0,0,0,0,39,97.5%,1,2.5%,0,0,0,0,14,73.7%,5,26.3%,58,98.3%,1,1.7%,27,84.4%,5,15.6%,8,100.0%,0,0.0%,81,87.1%,12,12.9%,2,100.0%
Essex,6,100.0%,0,0.0%,321,78.5%,88,21.5%,35,59.3%,24,40.7%,37,86.0%,6,14.0%,12,75.0%,4,25.0%,168,94.4%,10,5.6%,30,96.8%,1,3.2%,55,85.9%,9,14.1%,82,95.3%,4,4.7%,57,82.6%,12,17.4%,17,94.4%,1,5.6%,202,75.1%,67,24.9%,19,100.0%
Gloucestershire,0,-,0,-,115,78.2%,32,21.8%,1,50.0%,1,50.0%,19,95.0%,1,5.0%,8,88.9%,1,11.1%,97,98.0%,2,2.0%,7,70.0%,3,30.0%,18,85.7%,3,14.3%,37,100.0%,0,0.0%,21,87.5%,3,12.5%,3,60.0%,2,40.0%,75,94.9%,4,5.1%,31,100.0%
GreaterManchester,3,75.0%,1,25.0%,687,85.2%,119,14.8%,75,75.8%,24,24.2%,85,88.5%,11,11.5%,34,91.9%,3,8.1%,347,93.8%,23,6.2%,49,96.1%,2,3.9%,122,90.4%,13,9.6%,127,92.0%,11,8.0%,155,86.6%,24,13.4%,38,76.0%,12,24.0%,463,87.4%,67,12.6%,42,100.0%
Gwent,1,100.0%,0,0.0%,75,77.3%,22,22.7%,9,64.3%,5,35.7%,9,90.0%,1,10.0%,2,100.0%,0,0.0%,65,94.2%,4,5.8%,4,100.0%,0,0.0%,15,75.0%,5,25.0%,49,100.0%,0,0.0%,17,77.3%,5,22.7%,2,66.7%,1,33.3%,97,89.0%,12,11.0%,3,100.0%
Hampshire,1,100.0%,0,0.0%,253,81.9%,56,18.1%,24,72.7%,9,27.3%,33,89.2%,4,10.8%,4,100.0%,0,0.0%,193,91.9%,17,8.1%,23,88.5%,3,11.5%,55,91.7%,5,8.3%,77,95.1%,4,4.9%,82,92.1%,7,7.9%,13,92.9%,1,7.1%,228,89.4%,27,10.6%,25,100.0%
Hertfordshire,1,100.0%,0,0.0%,332,77.6%,96,22.4%,16,72.7%,6,27.3%,25,96.2%,1,3.8%,7,87.5%,1,12.5%,246,92.8%,19,7.2%,45,81.8%,10,18.2%,48,88.9%,6,11.1%,130,94.9%,7,5.1%,70,79.5%,18,20.5%,12,92.3%,1,7.7%,239,86.3%,38,13.7%,13,100.0%
Humberside,1,100.0%,0,0.0%,157,81.8%,35,18.2%,24,68.6%,11,31.4%,33,94.3%,2,5.7%,7,87.5%,1,12.5%,164,97.0%,5,3.0%,9,90.0%,1,10.0%,55,93.2%,4,6.8%,67,91.8%,6,8.2%,57,85.1%,10,14.9%,9,81.8%,2,18.2%,130,86.7%,20,13.3%,4,100.0%
Kent,7,100.0%,0,0.0%,273,80.8%,65,19.2%,25,75.8%,8,24.2%,37,77.1%,11,22.9%,18,90.0%,2,10.0%,177,84.3%,33,15.7%,46,82.1%,10,17.9%,48,82.8%,10,17.2%,103,93.6%,7,6.4%,59,90.8%,6,9.2%,30,96.8%,1,3.2%,176,86.7%,27,13.3%,22,100.0%
Lancashire,0,-,0,-,309,81.7%,69,18.3%,15,83.3%,3,16.7%,54,90.0%,6,10.0%,14,87.5%,2,12.5%,304,93.8%,20,6.2%,17,100.0%,0,0.0%,69,90.8%,7,9.2%,99,96.1%,4,3.9%,158,79.0%,42,21.0%,24,92.3%,2,7.7%,274,83.8%,53,16.2%,5,100.0%
Leicestershire,5,100.0%,0,0.0%,148,77.1%,44,22.9%,18,72.0%,7,28.0%,20,90.9%,2,9.1%,6,75.0%,2,25.0%,108,90.0%,12,10.0%,12,85.7%,2,14.3%,22,71.0%,9,29.0%,31,91.2%,3,8.8%,54,85.7%,9,14.3%,12,92.3%,1,7.7%,97,87.4%,14,12.6%,19,100.0%
