,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,75,71.4%,30,28.6%,"9,993",78.4%,"2,753",21.6%,"1,062",74.1%,372,25.9%,"1,158",87.3%,168,12.7%,372,80.2%,92,19.8%,"7,195",92.7%,570,7.3%,904,86.2%,145,13.8%,"1,827",86.2%,292,13.8%,"3,843",94.2%,236,5.8%,"2,942",84.8%,528,15.2%,667,88.9%,83,11.1%,"7,078",87.6%,"1,002",12.4%,756,100.0%
Avon and Somerset,1,50.0%,1,50.0%,247,76.9%,74,23.1%,35,63.6%,20,36.4%,37,86.0%,6,14.0%,8,100.0%,0,0.0%,208,93.3%,15,6.7%,13,86.7%,2,13.3%,67,93.1%,5,6.9%,93,97.9%,2,2.1%,73,83.9%,14,16.1%,7,87.5%,1,12.5%,183,87.1%,27,12.9%,20,100.0%
Bedfordshire,3,100.0%,0,0.0%,80,75.5%,26,24.5%,6,85.7%,1,14.3%,15,88.2%,2,11.8%,3,60.0%,2,40.0%,68,94.4%,4,5.6%,11,91.7%,1,8.3%,15,93.8%,1,6.3%,35,97.2%,1,2.8%,30,75.0%,10,25.0%,10,100.0%,0,0.0%,72,78.3%,20,21.7%,15,100.0%
Cambridgeshire,1,100.0%,0,0.0%,132,82.0%,29,18.0%,7,77.8%,2,22.2%,16,88.9%,2,11.1%,5,100.0%,0,0.0%,108,94.7%,6,5.3%,16,100.0%,0,0.0%,28,84.8%,5,15.2%,25,89.3%,3,10.7%,25,96.2%,1,3.8%,8,100.0%,0,0.0%,76,91.6%,7,8.4%,17,100.0%
Cheshire,0,-,0,-,238,83.5%,47,16.5%,21,80.8%,5,19.2%,23,92.0%,2,8.0%,8,100.0%,0,0.0%,168,91.3%,16,8.7%,19,90.5%,2,9.5%,40,87.0%,6,13.0%,99,97.1%,3,2.9%,76,80.9%,18,19.1%,7,70.0%,3,30.0%,182,87.5%,26,12.5%,5,100.0%
Cleveland,1,100.0%,0,0.0%,104,76.5%,32,23.5%,15,93.8%,1,6.3%,22,95.7%,1,4.3%,8,88.9%,1,11.1%,150,93.2%,11,6.8%,11,78.6%,3,21.4%,31,83.8%,6,16.2%,64,90.1%,7,9.9%,33,86.8%,5,13.2%,6,85.7%,1,14.3%,67,93.1%,5,6.9%,4,100.0%
Cumbria,0,-,0,-,84,86.6%,13,13.4%,6,100.0%,0,0.0%,9,81.8%,2,18.2%,0,0,0,0,65,92.9%,5,7.1%,7,87.5%,1,12.5%,17,85.0%,3,15.0%,20,95.2%,1,4.8%,28,93.3%,2,6.7%,3,100.0%,0,0.0%,81,91.0%,8,9.0%,5,100.0%
Derbyshire,2,50.0%,2,50.0%,188,82.1%,41,17.9%,6,85.7%,1,14.3%,24,92.3%,2,7.7%,5,45.5%,6,54.5%,147,96.7%,5,3.3%,17,94.4%,1,5.6%,28,82.4%,6,17.6%,58,96.7%,2,3.3%,47,88.7%,6,11.3%,9,90.0%,1,10.0%,107,93.0%,8,7.0%,8,100.0%
Devon and Cornwall,4,100.0%,0,0.0%,230,87.8%,32,12.2%,19,90.5%,2,9.5%,22,91.7%,2,8.3%,5,100.0%,0,0.0%,117,94.4%,7,5.6%,15,93.8%,1,6.3%,23,76.7%,7,23.3%,61,96.8%,2,3.2%,51,87.9%,7,12.1%,8,100.0%,0,0.0%,166,87.4%,24,12.6%,5,100.0%
Dorset,0,-,0,-,119,88.8%,15,11.2%,13,86.7%,2,13.3%,19,100.0%,0,0.0%,3,100.0%,0,0.0%,71,97.3%,2,2.7%,5,100.0%,0,0.0%,16,84.2%,3,15.8%,44,95.7%,2,4.3%,33,78.6%,9,21.4%,4,80.0%,1,20.0%,87,91.6%,8,8.4%,8,100.0%
