,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,83,79.8%,21,20.2%,"10,719",79.0%,"2,844",21.0%,"1,060",73.5%,382,26.5%,"1,192",86.9%,179,13.1%,317,71.6%,126,28.4%,"7,846",92.6%,630,7.4%,914,86.9%,138,13.1%,"1,985",86.5%,310,13.5%,"3,930",94.1%,247,5.9%,"3,344",84.5%,612,15.5%,749,86.5%,117,13.5%,"7,913",87.2%,"1,158",12.8%,822,100.0%
Avon and Somerset,3,75.0%,1,25.0%,275,82.1%,60,17.9%,42,62.7%,25,37.3%,33,89.2%,4,10.8%,3,75.0%,1,25.0%,187,93.5%,13,6.5%,23,76.7%,7,23.3%,59,95.2%,3,4.8%,69,90.8%,7,9.2%,96,86.5%,15,13.5%,6,50.0%,6,50.0%,219,89.0%,27,11.0%,21,100.0%
Bedfordshire,0,-,0,-,97,88.2%,13,11.8%,3,100.0%,0,0.0%,10,90.9%,1,9.1%,1,50.0%,1,50.0%,59,96.7%,2,3.3%,10,90.9%,1,9.1%,14,82.4%,3,17.6%,25,100.0%,0,0.0%,26,89.7%,3,10.3%,8,100.0%,0,0.0%,109,87.9%,15,12.1%,22,100.0%
Cambridgeshire,3,100.0%,0,0.0%,126,82.9%,26,17.1%,10,100.0%,0,0.0%,14,93.3%,1,6.7%,2,100.0%,0,0.0%,104,92.9%,8,7.1%,8,100.0%,0,0.0%,22,91.7%,2,8.3%,32,100.0%,0,0.0%,41,95.3%,2,4.7%,9,100.0%,0,0.0%,84,93.3%,6,6.7%,11,100.0%
Cheshire,2,50.0%,2,50.0%,274,85.1%,48,14.9%,12,60.0%,8,40.0%,17,89.5%,2,10.5%,4,80.0%,1,20.0%,206,96.3%,8,3.7%,8,100.0%,0,0.0%,41,95.3%,2,4.7%,95,97.9%,2,2.1%,107,91.5%,10,8.5%,26,86.7%,4,13.3%,181,89.2%,22,10.8%,15,100.0%
Cleveland,2,100.0%,0,0.0%,137,77.8%,39,22.2%,3,75.0%,1,25.0%,37,92.5%,3,7.5%,3,50.0%,3,50.0%,198,96.1%,8,3.9%,19,90.5%,2,9.5%,43,84.3%,8,15.7%,76,92.7%,6,7.3%,57,87.7%,8,12.3%,8,100.0%,0,0.0%,74,89.2%,9,10.8%,6,100.0%
Cumbria,1,100.0%,0,0.0%,137,90.7%,14,9.3%,5,100.0%,0,0.0%,8,88.9%,1,11.1%,4,100.0%,0,0.0%,111,99.1%,1,0.9%,2,100.0%,0,0.0%,27,100.0%,0,0.0%,32,97.0%,1,3.0%,41,87.2%,6,12.8%,9,90.0%,1,10.0%,125,88.0%,17,12.0%,2,100.0%
Derbyshire,1,100.0%,0,0.0%,181,80.4%,44,19.6%,7,87.5%,1,12.5%,11,64.7%,6,35.3%,2,50.0%,2,50.0%,171,88.6%,22,11.4%,7,87.5%,1,12.5%,51,83.6%,10,16.4%,54,90.0%,6,10.0%,66,86.8%,10,13.2%,18,85.7%,3,14.3%,101,82.1%,22,17.9%,14,100.0%
Devon and Cornwall,3,75.0%,1,25.0%,209,82.3%,45,17.7%,21,95.5%,1,4.5%,23,88.5%,3,11.5%,4,100.0%,0,0.0%,135,94.4%,8,5.6%,16,94.1%,1,5.9%,43,84.3%,8,15.7%,63,94.0%,4,6.0%,61,88.4%,8,11.6%,7,87.5%,1,12.5%,196,92.9%,15,7.1%,6,100.0%
Dorset,1,50.0%,1,50.0%,135,89.4%,16,10.6%,6,75.0%,2,25.0%,19,100.0%,0,0.0%,2,50.0%,2,50.0%,91,95.8%,4,4.2%,9,81.8%,2,18.2%,11,91.7%,1,8.3%,38,100.0%,0,0.0%,37,92.5%,3,7.5%,9,100.0%,0,0.0%,104,93.7%,7,6.3%,9,100.0%
Durham,1,100.0%,0,0.0%,118,81.9%,26,18.1%,3,100.0%,0,0.0%,17,85.0%,3,15.0%,0,0.0%,1,100.0%,112,91.1%,11,8.9%,4,100.0%,0,0.0%,30,90.9%,3,9.1%,14,100.0%,0,0.0%,25,78.1%,7,21.9%,12,100.0%,0,0.0%,104,91.2%,10,8.8%,3,100.0%
Dyfed Powys,1,100.0%,0,0.0%,82,83.7%,16,16.3%,6,85.7%,1,14.3%,4,100.0%,0,0.0%,0,0,0,0,44,91.7%,4,8.3%,10,100.0%,0,0.0%,10,71.4%,4,28.6%,38,92.7%,3,7.3%,20,80.0%,5,20.0%,7,87.5%,1,12.5%,93,90.3%,10,9.7%,2,100.0%
