,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,103,81.7%,23,18.3%,"11,278",78.5%,"3,096",21.5%,"1,126",74.4%,387,25.6%,"1,270",84.9%,226,15.1%,387,81.6%,87,18.4%,"8,137",92.6%,646,7.4%,"1,062",87.6%,150,12.4%,"1,928",84.9%,343,15.1%,"4,375",94.0%,278,6.0%,"3,336",85.7%,556,14.3%,796,87.9%,110,12.1%,"7,982",87.4%,"1,153",12.6%,956,100.0%
Avon and Somerset,0,-,0,-,299,77.5%,87,22.5%,51,79.7%,13,20.3%,23,65.7%,12,34.3%,0,0,0,0,217,94.3%,13,5.7%,22,81.5%,5,18.5%,51,81.0%,12,19.0%,95,93.1%,7,6.9%,55,77.5%,16,22.5%,19,82.6%,4,17.4%,208,86.3%,33,13.7%,23,100.0%
Bedfordshire,0,-,0,-,88,77.2%,26,22.8%,6,85.7%,1,14.3%,11,84.6%,2,15.4%,5,71.4%,2,28.6%,89,88.1%,12,11.9%,11,91.7%,1,8.3%,14,70.0%,6,30.0%,42,100.0%,0,0.0%,32,86.5%,5,13.5%,10,90.9%,1,9.1%,96,80.7%,23,19.3%,19,100.0%
Cambridgeshire,1,100.0%,0,0.0%,156,76.8%,47,23.2%,18,81.8%,4,18.2%,14,82.4%,3,17.6%,4,80.0%,1,20.0%,121,94.5%,7,5.5%,15,93.8%,1,6.3%,27,87.1%,4,12.9%,44,97.8%,1,2.2%,47,90.4%,5,9.6%,14,77.8%,4,22.2%,104,88.9%,13,11.1%,8,100.0%
Cheshire,1,50.0%,1,50.0%,251,82.3%,54,17.7%,17,65.4%,9,34.6%,22,81.5%,5,18.5%,1,100.0%,0,0.0%,174,96.1%,7,3.9%,20,83.3%,4,16.7%,43,86.0%,7,14.0%,89,92.7%,7,7.3%,119,95.2%,6,4.8%,25,92.6%,2,7.4%,222,89.5%,26,10.5%,7,100.0%
Cleveland,0,-,0,-,140,76.5%,43,23.5%,10,76.9%,3,23.1%,31,88.6%,4,11.4%,4,100.0%,0,0.0%,212,92.6%,17,7.4%,10,100.0%,0,0.0%,33,80.5%,8,19.5%,71,94.7%,4,5.3%,49,84.5%,9,15.5%,7,87.5%,1,12.5%,92,95.8%,4,4.2%,11,100.0%
Cumbria,3,100.0%,0,0.0%,139,88.0%,19,12.0%,5,71.4%,2,28.6%,6,85.7%,1,14.3%,1,100.0%,0,0.0%,88,95.7%,4,4.3%,2,100.0%,0,0.0%,23,79.3%,6,20.7%,33,94.3%,2,5.7%,42,95.5%,2,4.5%,2,66.7%,1,33.3%,86,88.7%,11,11.3%,1,100.0%
Derbyshire,0,-,0,-,158,84.9%,28,15.1%,5,100.0%,0,0.0%,18,81.8%,4,18.2%,11,91.7%,1,8.3%,127,88.2%,17,11.8%,15,88.2%,2,11.8%,39,90.7%,4,9.3%,50,90.9%,5,9.1%,48,87.3%,7,12.7%,11,100.0%,0,0.0%,95,88.0%,13,12.0%,11,100.0%
Devon and Cornwall,2,100.0%,0,0.0%,207,84.5%,38,15.5%,14,87.5%,2,12.5%,27,100.0%,0,0.0%,5,100.0%,0,0.0%,114,95.8%,5,4.2%,15,88.2%,2,11.8%,45,90.0%,5,10.0%,79,96.3%,3,3.7%,77,86.5%,12,13.5%,6,85.7%,1,14.3%,177,81.9%,39,18.1%,5,100.0%
Dorset,0,-,0,-,141,84.4%,26,15.6%,9,75.0%,3,25.0%,6,75.0%,2,25.0%,2,100.0%,0,0.0%,106,94.6%,6,5.4%,6,75.0%,2,25.0%,26,78.8%,7,21.2%,50,94.3%,3,5.7%,43,93.5%,3,6.5%,10,100.0%,0,0.0%,111,92.5%,9,7.5%,9,100.0%
