,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,78,85.7%,13,14.3%,"8,881",75.4%,"2,899",24.6%,818,71.6%,325,28.4%,"1,483",87.0%,222,13.0%,506,79.9%,127,20.1%,"9,236",91.4%,869,8.6%,631,86.4%,99,13.6%,"2,203",85.4%,378,14.6%,"3,997",93.6%,275,6.4%,"3,638",85.1%,636,14.9%,"1,997",83.1%,407,16.9%,"7,484",86.1%,"1,213",13.9%,752,100.0%
Avon and Somerset,2,100.0%,0,0.0%,227,77.7%,65,22.3%,52,69.3%,23,30.7%,25,96.2%,1,3.8%,3,75.0%,1,25.0%,276,94.8%,15,5.2%,13,92.9%,1,7.1%,67,82.7%,14,17.3%,100,98.0%,2,2.0%,81,88.0%,11,12.0%,71,92.2%,6,7.8%,195,82.6%,41,17.4%,30,100.0%
Bedfordshire,0,-,0,-,79,70.5%,33,29.5%,5,83.3%,1,16.7%,13,92.9%,1,7.1%,6,85.7%,1,14.3%,78,90.7%,8,9.3%,7,87.5%,1,12.5%,16,76.2%,5,23.8%,26,89.7%,3,10.3%,21,87.5%,3,12.5%,6,66.7%,3,33.3%,79,92.9%,6,7.1%,8,100.0%
Cambridgeshire,0,-,0,-,98,81.0%,23,19.0%,5,83.3%,1,16.7%,18,81.8%,4,18.2%,4,80.0%,1,20.0%,89,91.8%,8,8.2%,7,100.0%,0,0.0%,25,86.2%,4,13.8%,45,95.7%,2,4.3%,40,81.6%,9,18.4%,7,87.5%,1,12.5%,88,88.0%,12,12.0%,8,100.0%
Cheshire,3,100.0%,0,0.0%,142,74.0%,50,26.0%,15,78.9%,4,21.1%,21,95.5%,1,4.5%,6,85.7%,1,14.3%,205,92.8%,16,7.2%,9,100.0%,0,0.0%,36,97.3%,1,2.7%,64,97.0%,2,3.0%,72,88.9%,9,11.1%,40,85.1%,7,14.9%,111,93.3%,8,6.7%,15,100.0%
Cleveland,2,100.0%,0,0.0%,104,73.8%,37,26.2%,12,80.0%,3,20.0%,23,82.1%,5,17.9%,9,75.0%,3,25.0%,244,87.5%,35,12.5%,6,100.0%,0,0.0%,45,80.4%,11,19.6%,35,79.5%,9,20.5%,103,78.6%,28,21.4%,26,86.7%,4,13.3%,75,87.2%,11,12.8%,0,-
Cumbria,0,-,0,-,102,85.0%,18,15.0%,6,100.0%,0,0.0%,7,77.8%,2,22.2%,3,100.0%,0,0.0%,98,96.1%,4,3.9%,5,100.0%,0,0.0%,26,92.9%,2,7.1%,33,91.7%,3,8.3%,39,92.9%,3,7.1%,58,95.1%,3,4.9%,84,89.4%,10,10.6%,5,100.0%
Derbyshire,0,-,0,-,164,80.0%,41,20.0%,18,85.7%,3,14.3%,13,68.4%,6,31.6%,3,60.0%,2,40.0%,181,94.3%,11,5.7%,7,77.8%,2,22.2%,42,87.5%,6,12.5%,45,86.5%,7,13.5%,66,86.8%,10,13.2%,28,84.8%,5,15.2%,113,88.3%,15,11.7%,17,100.0%
Devon and Cornwall,1,100.0%,0,0.0%,208,77.9%,59,22.1%,6,100.0%,0,0.0%,14,77.8%,4,22.2%,5,100.0%,0,0.0%,160,91.4%,15,8.6%,10,100.0%,0,0.0%,54,88.5%,7,11.5%,68,95.8%,3,4.2%,51,87.9%,7,12.1%,53,86.9%,8,13.1%,161,89.9%,18,10.1%,18,100.0%
Dorset,1,100.0%,0,0.0%,104,79.4%,27,20.6%,7,77.8%,2,22.2%,7,100.0%,0,0.0%,5,100.0%,0,0.0%,91,95.8%,4,4.2%,9,81.8%,2,18.2%,22,88.0%,3,12.0%,35,97.2%,1,2.8%,20,76.9%,6,23.1%,15,75.0%,5,25.0%,82,91.1%,8,8.9%,3,100.0%
