,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,59,88.1%,8,11.9%,"9,506",74.4%,"3,271",25.6%,853,69.3%,377,30.7%,"1,576",83.6%,310,16.4%,492,77.4%,144,22.6%,"10,554",91.1%,"1,025",8.9%,810,85.9%,133,14.1%,"2,605",84.9%,465,15.1%,"4,741",93.2%,346,6.8%,"4,481",85.5%,757,14.5%,"2,780",82.2%,603,17.8%,"8,695",85.5%,"1,473",14.5%,789,100.0%
Avon and Somerset,2,100.0%,0,0.0%,237,76.5%,73,23.5%,28,58.3%,20,41.7%,61,93.8%,4,6.2%,3,75.0%,1,25.0%,298,94.3%,18,5.7%,20,95.2%,1,4.8%,80,94.1%,5,5.9%,128,94.1%,8,5.9%,96,87.3%,14,12.7%,89,83.2%,18,16.8%,224,80.6%,54,19.4%,28,100.0%
Bedfordshire,2,100.0%,0,0.0%,84,71.8%,33,28.2%,10,66.7%,5,33.3%,12,85.7%,2,14.3%,10,76.9%,3,23.1%,85,93.4%,6,6.6%,5,71.4%,2,28.6%,21,75.0%,7,25.0%,40,90.9%,4,9.1%,24,92.3%,2,7.7%,11,73.3%,4,26.7%,72,83.7%,14,16.3%,16,100.0%
Cambridgeshire,0,-,0,-,87,80.6%,21,19.4%,10,83.3%,2,16.7%,16,80.0%,4,20.0%,7,77.8%,2,22.2%,97,87.4%,14,12.6%,11,100.0%,0,0.0%,24,92.3%,2,7.7%,33,97.1%,1,2.9%,36,83.7%,7,16.3%,20,87.0%,3,13.0%,67,76.1%,21,23.9%,12,100.0%
Cheshire,0,-,0,-,196,79.7%,50,20.3%,17,81.0%,4,19.0%,31,83.8%,6,16.2%,5,83.3%,1,16.7%,239,94.5%,14,5.5%,21,80.8%,5,19.2%,44,86.3%,7,13.7%,76,93.8%,5,6.2%,106,92.2%,9,7.8%,48,94.1%,3,5.9%,162,92.6%,13,7.4%,2,100.0%
Cleveland,1,100.0%,0,0.0%,139,81.3%,32,18.7%,12,85.7%,2,14.3%,34,81.0%,8,19.0%,3,100.0%,0,0.0%,380,94.3%,23,5.7%,8,80.0%,2,20.0%,39,69.6%,17,30.4%,73,89.0%,9,11.0%,119,86.9%,18,13.1%,44,75.9%,14,24.1%,181,89.6%,21,10.4%,3,100.0%
Cumbria,0,-,0,-,108,87.1%,16,12.9%,4,80.0%,1,20.0%,5,71.4%,2,28.6%,0,0,0,0,95,95.0%,5,5.0%,4,100.0%,0,0.0%,37,77.1%,11,22.9%,47,94.0%,3,6.0%,63,90.0%,7,10.0%,67,93.1%,5,6.9%,80,89.9%,9,10.1%,2,100.0%
Derbyshire,1,100.0%,0,0.0%,167,74.2%,58,25.8%,14,73.7%,5,26.3%,21,84.0%,4,16.0%,10,76.9%,3,23.1%,206,94.1%,13,5.9%,13,81.3%,3,18.8%,39,75.0%,13,25.0%,63,98.4%,1,1.6%,78,86.7%,12,13.3%,50,75.8%,16,24.2%,148,92.5%,12,7.5%,12,100.0%
Devon and Cornwall,0,-,0,-,198,75.6%,64,24.4%,16,100.0%,0,0.0%,24,88.9%,3,11.1%,11,78.6%,3,21.4%,178,94.7%,10,5.3%,16,88.9%,2,11.1%,59,85.5%,10,14.5%,59,95.2%,3,4.8%,64,91.4%,6,8.6%,76,80.0%,19,20.0%,203,90.2%,22,9.8%,16,100.0%
Dorset,0,-,0,-,101,78.3%,28,21.7%,7,63.6%,4,36.4%,15,100.0%,0,0.0%,2,25.0%,6,75.0%,96,93.2%,7,6.8%,4,66.7%,2,33.3%,28,96.6%,1,3.4%,46,95.8%,2,4.2%,48,90.6%,5,9.4%,44,88.0%,6,12.0%,99,90.8%,10,9.2%,1,100.0%
