,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,47,85.5%,8,14.5%,"9,369",74.2%,"3,251",25.8%,853,71.7%,336,28.3%,"1,491",82.5%,317,17.5%,602,76.2%,188,23.8%,"10,041",91.0%,998,9.0%,781,87.4%,113,12.6%,"2,483",85.6%,419,14.4%,"4,558",93.6%,310,6.4%,"4,390",84.6%,801,15.4%,"2,619",82.4%,558,17.6%,"8,858",86.7%,"1,363",13.3%,793,100.0%
Avon and Somerset,2,100.0%,0,0.0%,215,75.2%,71,24.8%,39,70.9%,16,29.1%,53,89.8%,6,10.2%,12,92.3%,1,7.7%,283,94.0%,18,6.0%,18,94.7%,1,5.3%,77,88.5%,10,11.5%,113,95.8%,5,4.2%,134,91.8%,12,8.2%,75,85.2%,13,14.8%,195,80.6%,47,19.4%,26,100.0%
Bedfordshire,4,100.0%,0,0.0%,69,75.8%,22,24.2%,10,66.7%,5,33.3%,9,90.0%,1,10.0%,6,100.0%,0,0.0%,87,91.6%,8,8.4%,8,100.0%,0,0.0%,16,80.0%,4,20.0%,49,94.2%,3,5.8%,25,86.2%,4,13.8%,6,66.7%,3,33.3%,97,92.4%,8,7.6%,11,100.0%
Cambridgeshire,0,-,0,-,110,85.9%,18,14.1%,4,80.0%,1,20.0%,25,92.6%,2,7.4%,3,75.0%,1,25.0%,109,93.2%,8,6.8%,8,88.9%,1,11.1%,29,93.5%,2,6.5%,58,96.7%,2,3.3%,43,86.0%,7,14.0%,14,66.7%,7,33.3%,79,94.0%,5,6.0%,11,100.0%
Cheshire,0,-,0,-,252,82.4%,54,17.6%,13,86.7%,2,13.3%,36,92.3%,3,7.7%,3,75.0%,1,25.0%,208,92.9%,16,7.1%,10,83.3%,2,16.7%,56,91.8%,5,8.2%,95,95.0%,5,5.0%,108,90.8%,11,9.2%,58,85.3%,10,14.7%,210,92.1%,18,7.9%,6,100.0%
Cleveland,0,-,0,-,111,74.5%,38,25.5%,12,80.0%,3,20.0%,34,89.5%,4,10.5%,6,85.7%,1,14.3%,241,91.6%,22,8.4%,12,100.0%,0,0.0%,35,83.3%,7,16.7%,75,90.4%,8,9.6%,122,81.9%,27,18.1%,26,83.9%,5,16.1%,97,84.3%,18,15.7%,4,100.0%
Cumbria,0,-,0,-,84,80.0%,21,20.0%,10,100.0%,0,0.0%,10,76.9%,3,23.1%,3,100.0%,0,0.0%,94,95.9%,4,4.1%,6,75.0%,2,25.0%,33,100.0%,0,0.0%,35,97.2%,1,2.8%,59,90.8%,6,9.2%,52,83.9%,10,16.1%,98,91.6%,9,8.4%,3,100.0%
Derbyshire,0,-,0,-,155,74.9%,52,25.1%,15,93.8%,1,6.3%,17,77.3%,5,22.7%,22,88.0%,3,12.0%,194,91.9%,17,8.1%,5,71.4%,2,28.6%,41,78.8%,11,21.2%,84,94.4%,5,5.6%,56,90.3%,6,9.7%,49,77.8%,14,22.2%,222,93.3%,16,6.7%,7,100.0%
Devon and Cornwall,0,-,0,-,171,72.2%,66,27.8%,7,87.5%,1,12.5%,17,89.5%,2,10.5%,5,83.3%,1,16.7%,166,93.8%,11,6.2%,13,92.9%,1,7.1%,54,91.5%,5,8.5%,68,89.5%,8,10.5%,69,78.4%,19,21.6%,95,86.4%,15,13.6%,188,94.5%,11,5.5%,13,100.0%
Dorset,0,-,0,-,100,77.5%,29,22.5%,7,70.0%,3,30.0%,18,94.7%,1,5.3%,5,100.0%,0,0.0%,80,86.0%,13,14.0%,10,83.3%,2,16.7%,38,97.4%,1,2.6%,37,97.4%,1,2.6%,54,84.4%,10,15.6%,40,81.6%,9,18.4%,95,90.5%,10,9.5%,5,100.0%
Durham,0,-,0,-,96,71.6%,38,28.4%,13,86.7%,2,13.3%,19,82.6%,4,17.4%,3,60.0%,2,40.0%,165,89.2%,20,10.8%,12,92.3%,1,7.7%,40,85.1%,7,14.9%,30,96.8%,1,3.2%,63,84.0%,12,16.0%,20,80.0%,5,20.0%,80,92.0%,7,8.0%,2,100.0%
Dyfed Powys,0,-,0,-,83,79.0%,22,21.0%,9,81.8%,2,18.2%,9,100.0%,0,0.0%,1,100.0%,0,0.0%,49,80.3%,12,19.7%,4,100.0%,0,0.0%,21,87.5%,3,12.5%,53,96.4%,2,3.6%,49,77.8%,14,22.2%,6,85.7%,1,14.3%,201,91.4%,19,8.6%,3,100.0%
Essex,1,100.0%,0,0.0%,334,85.0%,59,15.0%,39,72.2%,15,27.8%,38,79.2%,10,20.8%,10,83.3%,2,16.7%,274,93.8%,18,6.2%,20,87.0%,3,13.0%,73,91.3%,7,8.8%,119,94.4%,7,5.6%,72,87.8%,10,12.2%,61,83.6%,12,16.4%,209,91.7%,19,8.3%,25,100.0%
