,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,80,75.5%,26,24.5%,"9,662",74.7%,"3,280",25.3%,900,70.6%,374,29.4%,"1,679",84.8%,302,15.2%,650,77.9%,184,22.1%,"10,922",91.5%,"1,011",8.5%,785,84.6%,143,15.4%,"2,645",84.3%,491,15.7%,"4,890",94.2%,301,5.8%,"4,586",86.1%,742,13.9%,"2,799",83.6%,551,16.4%,"9,117",86.2%,"1,463",13.8%,795,100.0%
Avon and Somerset,1,100.0%,0,0.0%,289,83.8%,56,16.2%,54,72.0%,21,28.0%,55,98.2%,1,1.8%,10,66.7%,5,33.3%,358,92.5%,29,7.5%,25,89.3%,3,10.7%,70,88.6%,9,11.4%,124,98.4%,2,1.6%,112,84.2%,21,15.8%,93,88.6%,12,11.4%,219,79.6%,56,20.4%,44,100.0%
Bedfordshire,3,75.0%,1,25.0%,87,73.1%,32,26.9%,5,45.5%,6,54.5%,25,92.6%,2,7.4%,11,78.6%,3,21.4%,67,91.8%,6,8.2%,4,100.0%,0,0.0%,17,85.0%,3,15.0%,28,96.6%,1,3.4%,29,85.3%,5,14.7%,13,86.7%,2,13.3%,54,91.5%,5,8.5%,14,100.0%
Cambridgeshire,0,-,0,-,115,79.9%,29,20.1%,4,57.1%,3,42.9%,10,71.4%,4,28.6%,1,50.0%,1,50.0%,110,91.7%,10,8.3%,5,83.3%,1,16.7%,22,88.0%,3,12.0%,28,100.0%,0,0.0%,56,93.3%,4,6.7%,14,87.5%,2,12.5%,75,92.6%,6,7.4%,8,100.0%
Cheshire,1,100.0%,0,0.0%,195,78.3%,54,21.7%,17,81.0%,4,19.0%,20,95.2%,1,4.8%,6,100.0%,0,0.0%,214,96.8%,7,3.2%,11,91.7%,1,8.3%,41,82.0%,9,18.0%,67,95.7%,3,4.3%,81,93.1%,6,6.9%,48,94.1%,3,5.9%,143,89.9%,16,10.1%,13,100.0%
Cleveland,0,-,0,-,130,72.2%,50,27.8%,7,50.0%,7,50.0%,44,89.8%,5,10.2%,12,80.0%,3,20.0%,278,89.1%,34,10.9%,10,100.0%,0,0.0%,41,85.4%,7,14.6%,58,90.6%,6,9.4%,112,74.7%,38,25.3%,19,79.2%,5,20.8%,105,87.5%,15,12.5%,3,100.0%
Cumbria,0,-,0,-,108,87.8%,15,12.2%,10,90.9%,1,9.1%,7,63.6%,4,36.4%,2,100.0%,0,0.0%,96,99.0%,1,1.0%,5,100.0%,0,0.0%,36,94.7%,2,5.3%,41,100.0%,0,0.0%,59,96.7%,2,3.3%,44,88.0%,6,12.0%,87,88.8%,11,11.2%,2,100.0%
Derbyshire,2,100.0%,0,0.0%,184,75.7%,59,24.3%,14,87.5%,2,12.5%,45,93.8%,3,6.3%,9,90.0%,1,10.0%,178,89.4%,21,10.6%,19,82.6%,4,17.4%,47,81.0%,11,19.0%,52,91.2%,5,8.8%,53,84.1%,10,15.9%,33,82.5%,7,17.5%,158,87.8%,22,12.2%,6,100.0%
Devon and Cornwall,2,100.0%,0,0.0%,157,74.8%,53,25.2%,9,90.0%,1,10.0%,29,80.6%,7,19.4%,5,100.0%,0,0.0%,179,96.2%,7,3.8%,13,76.5%,4,23.5%,68,85.0%,12,15.0%,69,95.8%,3,4.2%,66,86.8%,10,13.2%,70,78.7%,19,21.3%,155,91.2%,15,8.8%,11,100.0%
Dorset,0,-,0,-,114,75.0%,38,25.0%,7,70.0%,3,30.0%,25,83.3%,5,16.7%,6,85.7%,1,14.3%,111,94.9%,6,5.1%,9,100.0%,0,0.0%,32,84.2%,6,15.8%,38,95.0%,2,5.0%,40,85.1%,7,14.9%,23,79.3%,6,20.7%,103,92.0%,9,8.0%,22,100.0%
Durham,0,-,0,-,120,82.8%,25,17.2%,13,81.3%,3,18.8%,21,80.8%,5,19.2%,5,83.3%,1,16.7%,167,90.8%,17,9.2%,9,75.0%,3,25.0%,36,72.0%,14,28.0%,34,94.4%,2,5.6%,67,85.9%,11,14.1%,16,84.2%,3,15.8%,76,91.6%,7,8.4%,3,100.0%
