,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,57,72.2%,22,27.8%,"8,595",73.3%,"3,133",26.7%,731,69.6%,320,30.4%,"1,618",87.1%,239,12.9%,569,79.8%,144,20.2%,"10,716",91.9%,943,8.1%,814,87.7%,114,12.3%,"2,413",84.8%,432,15.2%,"4,649",94.0%,295,6.0%,"3,920",84.5%,717,15.5%,"2,994",84.7%,541,15.3%,"11,155",88.7%,"1,425",11.3%,633,100.0%
Avon and Somerset,1,100.0%,0,0.0%,230,78.0%,65,22.0%,30,65.2%,16,34.8%,39,92.9%,3,7.1%,14,82.4%,3,17.6%,371,89.4%,44,10.6%,19,100.0%,0,0.0%,81,85.3%,14,14.7%,139,94.6%,8,5.4%,107,82.3%,23,17.7%,94,92.2%,8,7.8%,723,90.3%,78,9.7%,19,100.0%
Bedfordshire,2,100.0%,0,0.0%,102,73.4%,37,26.6%,4,100.0%,0,0.0%,26,86.7%,4,13.3%,11,100.0%,0,0.0%,147,87.5%,21,12.5%,9,90.0%,1,10.0%,28,87.5%,4,12.5%,61,89.7%,7,10.3%,20,71.4%,8,28.6%,20,90.9%,2,9.1%,89,85.6%,15,14.4%,8,100.0%
Cambridgeshire,0,-,0,-,83,76.9%,25,23.1%,4,100.0%,0,0.0%,27,90.0%,3,10.0%,5,83.3%,1,16.7%,121,93.8%,8,6.2%,10,90.9%,1,9.1%,22,78.6%,6,21.4%,43,97.7%,1,2.3%,55,91.7%,5,8.3%,25,80.6%,6,19.4%,74,88.1%,10,11.9%,7,100.0%
Cheshire,0,-,0,-,148,77.9%,42,22.1%,15,71.4%,6,28.6%,20,90.9%,2,9.1%,2,50.0%,2,50.0%,226,96.6%,8,3.4%,13,76.5%,4,23.5%,41,89.1%,5,10.9%,73,94.8%,4,5.2%,68,89.5%,8,10.5%,42,82.4%,9,17.6%,245,93.9%,16,6.1%,4,100.0%
Cleveland,1,100.0%,0,0.0%,92,70.2%,39,29.8%,15,78.9%,4,21.1%,38,88.4%,5,11.6%,10,55.6%,8,44.4%,278,92.7%,22,7.3%,8,66.7%,4,33.3%,39,73.6%,14,26.4%,62,86.1%,10,13.9%,79,76.7%,24,23.3%,28,71.8%,11,28.2%,233,97.1%,7,2.9%,3,100.0%
Cumbria,0,-,0,-,130,88.4%,17,11.6%,5,71.4%,2,28.6%,15,88.2%,2,11.8%,1,100.0%,0,0.0%,76,98.7%,1,1.3%,4,100.0%,0,0.0%,36,87.8%,5,12.2%,36,97.3%,1,2.7%,28,93.3%,2,6.7%,59,95.2%,3,4.8%,105,89.0%,13,11.0%,8,100.0%
Derbyshire,1,100.0%,0,0.0%,124,69.3%,55,30.7%,13,81.3%,3,18.8%,29,87.9%,4,12.1%,3,75.0%,1,25.0%,149,88.7%,19,11.3%,6,100.0%,0,0.0%,28,75.7%,9,24.3%,57,87.7%,8,12.3%,46,92.0%,4,8.0%,41,82.0%,9,18.0%,108,87.8%,15,12.2%,18,100.0%
Devon and Cornwall,1,50.0%,1,50.0%,221,73.4%,80,26.6%,11,84.6%,2,15.4%,35,83.3%,7,16.7%,0,0,0,0,202,96.2%,8,3.8%,5,71.4%,2,28.6%,57,82.6%,12,17.4%,72,92.3%,6,7.7%,76,83.5%,15,16.5%,82,84.5%,15,15.5%,374,92.3%,31,7.7%,6,100.0%
Dorset,2,100.0%,0,0.0%,84,77.8%,24,22.2%,3,42.9%,4,57.1%,16,100.0%,0,0.0%,3,100.0%,0,0.0%,115,89.8%,13,10.2%,2,100.0%,0,0.0%,26,81.3%,6,18.8%,41,93.2%,3,6.8%,36,85.7%,6,14.3%,46,92.0%,4,8.0%,92,84.4%,17,15.6%,9,100.0%
Durham,1,100.0%,0,0.0%,88,73.3%,32,26.7%,12,70.6%,5,29.4%,29,85.3%,5,14.7%,4,80.0%,1,20.0%,161,92.0%,14,8.0%,7,87.5%,1,12.5%,47,83.9%,9,16.1%,21,91.3%,2,8.7%,57,79.2%,15,20.8%,15,88.2%,2,11.8%,78,91.8%,7,8.2%,0,-
Dyfed Powys,0,-,0,-,64,82.1%,14,17.9%,6,75.0%,2,25.0%,16,88.9%,2,11.1%,0,0,0,0,31,75.6%,10,24.4%,2,100.0%,0,0.0%,23,82.1%,5,17.9%,66,93.0%,5,7.0%,51,85.0%,9,15.0%,15,88.2%,2,11.8%,204,93.2%,15,6.8%,5,100.0%
Essex,4,100.0%,0,0.0%,280,79.3%,73,20.7%,19,76.0%,6,24.0%,37,92.5%,3,7.5%,13,86.7%,2,13.3%,288,93.2%,21,6.8%,16,80.0%,4,20.0%,69,86.3%,11,13.8%,126,96.9%,4,3.1%,65,89.0%,8,11.0%,47,87.0%,7,13.0%,195,91.1%,19,8.9%,14,100.0%
Gloucestershire,0,-,0,-,64,82.1%,14,17.9%,3,75.0%,1,25.0%,21,95.5%,1,4.5%,2,100.0%,0,0.0%,100,92.6%,8,7.4%,8,100.0%,0,0.0%,22,95.7%,1,4.3%,58,95.1%,3,4.9%,23,85.2%,4,14.8%,5,83.3%,1,16.7%,80,90.9%,8,9.1%,7,100.0%
GreaterManchester,4,80.0%,1,20.0%,553,77.9%,157,22.1%,42,53.8%,36,46.2%,100,95.2%,5,4.8%,41,91.1%,4,8.9%,530,96.4%,20,3.6%,47,82.5%,10,17.5%,136,87.7%,19,12.3%,242,94.9%,13,5.1%,270,90.9%,27,9.1%,118,90.1%,13,9.9%,"1,040",94.4%,62,5.6%,29,100.0%
Gwent,0,-,0,-,70,80.5%,17,19.5%,3,37.5%,5,62.5%,25,80.6%,6,19.4%,6,75.0%,2,25.0%,101,91.8%,9,8.2%,12,92.3%,1,7.7%,24,70.6%,10,29.4%,36,78.3%,10,21.7%,56,82.4%,12,17.6%,32,80.0%,8,20.0%,72,80.9%,17,19.1%,3,100.0%
Hampshire,0,0.0%,1,100.0%,249,69.7%,108,30.3%,26,55.3%,21,44.7%,35,81.4%,8,18.6%,7,63.6%,4,36.4%,284,92.5%,23,7.5%,13,72.2%,5,27.8%,79,85.9%,13,14.1%,108,94.7%,6,5.3%,105,78.4%,29,21.6%,148,87.6%,21,12.4%,188,88.3%,25,11.7%,14,100.0%
